"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1016.4","15.7","76"
"2",2019-03-24 02:00:00,"0.0","1016.3","15.8","74"
"3",2019-03-24 03:00:00,"0.0","1016.2","15.5","75"
"4",2019-03-24 04:00:00,"0.0","1015.7","15.4","78"
"5",2019-03-24 05:00:00,"2.5","/","/","/"
"6",2019-03-24 06:00:00,"0.0","1016.2","14.1","92"
"7",2019-03-24 07:00:00,"0.5","1016.7","14.3","93"
"8",2019-03-24 08:00:00,"0.0","1017.3","14.5","93"
"9",2019-03-24 09:00:00,"0.5","1017.9","14.7","93"
"10",2019-03-24 10:00:00,"2.5","1017.9","15.1","94"
"11",2019-03-24 11:00:00,"0.0","1017.9","15.7","94"
"12",2019-03-24 12:00:00,"0.5","1017.4","16.3","94"
"13",2019-03-24 13:00:00,"0.5","1016.2","17.1","95"
"14",2019-03-24 14:00:00,"0.0","/","/","/"
"15",2019-03-24 15:00:00,"0.5","1015.4","17.8","94"
"16",2019-03-24 16:00:00,"0.0","1015.3","18.1","91"
"17",2019-03-24 17:00:00,"0.0","1015.3","18.3","91"
"18",2019-03-24 18:00:00,"0.0","1015.4","18.4","93"
"19",2019-03-24 19:00:00,"0.0","1015.7","18.3","92"
"20",2019-03-24 20:00:00,"0.0","1016.1","18.5","91"
"21",2019-03-24 21:00:00,"0.0","1016.3","18.5","93"
"22",2019-03-24 22:00:00,"0.0","1016.3","18.4","95"
"23",2019-03-24 23:00:00,"0.0","1016.2","18.3","95"
"24",2019-03-25 00:00:00,"0.0","1015.3","18.2","95"
