"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"X","/","/","/"
"2",2019-03-24 02:00:00,"X","/","/","/"
"3",2019-03-24 03:00:00,"X","/","/","/"
"4",2019-03-24 04:00:00,"X","1017.4","15.8","76"
"5",2019-03-24 05:00:00,"0.0","1018.1","15.3","81"
"6",2019-03-24 06:00:00,"1.0","1018.3","14.6","93"
"7",2019-03-24 07:00:00,"1.0","1018.8","14.6","94"
"8",2019-03-24 08:00:00,"0.5","1019.3","15.0","95"
"9",2019-03-24 09:00:00,"0.0","1020.0","15.4","96"
"10",2019-03-24 10:00:00,"1.5","1020.0","15.9","96"
"11",2019-03-24 11:00:00,"0.5","1020.1","16.1","96"
"12",2019-03-24 12:00:00,"1.0","1019.7","16.9","96"
"13",2019-03-24 13:00:00,"0.5","1018.5","17.3","96"
"14",2019-03-24 14:00:00,"0.0","1018.2","17.9","94"
"15",2019-03-24 15:00:00,"0.0","1017.7","18.4","93"
"16",2019-03-24 16:00:00,"0.0","1017.3","18.9","89"
"17",2019-03-24 17:00:00,"0.0","1017.2","18.9","90"
"18",2019-03-24 18:00:00,"0.5","/","/","/"
"19",2019-03-24 19:00:00,"X","/","/","/"
"20",2019-03-24 20:00:00,"0.0","1017.6","18.2","95"
"21",2019-03-24 21:00:00,"0.0","1018.2","18.3","97"
"22",2019-03-24 22:00:00,"0.0","1018.3","18.3","97"
"23",2019-03-24 23:00:00,"0.0","1018.1","18.3","98"
"24",2019-03-25 00:00:00,"0.0","X","/","/"
