"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","850.4","13.3","98"
"2",2019-03-24 02:00:00,"0.0","850.0","13.1","98"
"3",2019-03-24 03:00:00,"6.5","849.6","13.1","98"
"4",2019-03-24 04:00:00,"1.0","849.5","13.1","98"
"5",2019-03-24 05:00:00,"3.0","849.7","12.9","98"
"6",2019-03-24 06:00:00,"4.0","850.0","12.9","98"
"7",2019-03-24 07:00:00,"3.0","850.6","12.7","98"
"8",2019-03-24 08:00:00,"4.0","851.1","12.8","98"
"9",2019-03-24 09:00:00,"1.0","851.5","12.5","98"
"10",2019-03-24 10:00:00,"3.0","851.4","12.8","98"
"11",2019-03-24 11:00:00,"4.0","851.2","12.6","98"
"12",2019-03-24 12:00:00,"4.0","851.1","12.9","98"
"13",2019-03-24 13:00:00,"4.5","850.8","12.6","98"
"14",2019-03-24 14:00:00,"1.0","850.2","13.0","98"
"15",2019-03-24 15:00:00,"0.0","850.1","12.5","98"
"16",2019-03-24 16:00:00,"1.0","849.7","13.2","98"
"17",2019-03-24 17:00:00,"0.0","849.7","12.4","98"
"18",2019-03-24 18:00:00,"0.0","850.0","12.3","98"
"19",2019-03-24 19:00:00,"0.0","850.1","12.1","98"
"20",2019-03-24 20:00:00,"0.0","850.7","12.3","98"
"21",2019-03-24 21:00:00,"0.0","851.1","12.1","98"
"22",2019-03-24 22:00:00,"0.0","850.9","11.9","98"
"23",2019-03-24 23:00:00,"0.0","850.7","11.7","98"
"24",2019-03-25 00:00:00,"0.0","850.8","11.8","98"
