"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1017.9","13.5","90"
"2",2019-03-24 02:00:00,"0.5","1017.7","13.8","86"
"3",2019-03-24 03:00:00,"1.0","1017.6","13.5","90"
"4",2019-03-24 04:00:00,"0.5","1017.1","13.7","89"
"5",2019-03-24 05:00:00,"0.5","1017.3","14.0","86"
"6",2019-03-24 06:00:00,"0.0","1016.5","14.4","84"
"7",2019-03-24 07:00:00,"0.0","1015.4","15.2","79"
"8",2019-03-24 08:00:00,"0.0","1016.5","16.2","73"
"9",2019-03-24 09:00:00,"0.0","1015.9","16.5","78"
"10",2019-03-24 10:00:00,"0.5","1015.8","17.0","77"
"11",2019-03-24 11:00:00,"0.0","1016.1","17.6","73"
"12",2019-03-24 12:00:00,"0.0","1015.4","18.1","75"
"13",2019-03-24 13:00:00,"0.0","1014.9","18.0","76"
"14",2019-03-24 14:00:00,"0.0","1013.1","17.7","81"
"15",2019-03-24 15:00:00,"0.5","1013.4","17.5","86"
"16",2019-03-24 16:00:00,"0.0","1013.6","17.5","87"
"17",2019-03-24 17:00:00,"0.0","1014.1","17.3","90"
"18",2019-03-24 18:00:00,"0.0","1014.0","17.8","83"
"19",2019-03-24 19:00:00,"0.0","1014.2","17.9","87"
"20",2019-03-24 20:00:00,"0.0","1014.0","17.6","87"
"21",2019-03-24 21:00:00,"0.0","1014.7","17.7","88"
"22",2019-03-24 22:00:00,"0.0","1014.3","17.6","89"
"23",2019-03-24 23:00:00,"0.0","1014.1","17.4","90"
"24",2019-03-25 00:00:00,"0.0","1013.7","17.3","92"
