"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1014.3","9.9","82"
"2",2019-03-24 02:00:00,"0.0","1013.5","10.3","82"
"3",2019-03-24 03:00:00,"0.0","1013.1","10.5","81"
"4",2019-03-24 04:00:00,"0.0","1012.4","10.5","80"
"5",2019-03-24 05:00:00,"0.0","1012.2","10.6","78"
"6",2019-03-24 06:00:00,"0.0","1012.0","10.4","75"
"7",2019-03-24 07:00:00,"0.0","1012.9","11.0","75"
"8",2019-03-24 08:00:00,"0.0","1013.2","11.3","74"
"9",2019-03-24 09:00:00,"0.0","1013.6","11.9","74"
"10",2019-03-24 10:00:00,"0.0","1013.1","12.1","71"
"11",2019-03-24 11:00:00,"0.0","1012.7","11.8","74"
"12",2019-03-24 12:00:00,"0.0","1011.9","11.8","73"
"13",2019-03-24 13:00:00,"0.0","1011.2","12.3","73"
"14",2019-03-24 14:00:00,"0.0","1011.0","12.0","74"
"15",2019-03-24 15:00:00,"0.0","1010.1","12.0","74"
"16",2019-03-24 16:00:00,"0.0","1009.7","12.0","75"
"17",2019-03-24 17:00:00,"0.0","1009.8","12.1","75"
"18",2019-03-24 18:00:00,"0.0","1009.9","11.3","81"
"19",2019-03-24 19:00:00,"0.0","1010.5","10.6","88"
"20",2019-03-24 20:00:00,"0.1","1010.6","10.3","92"
"21",2019-03-24 21:00:00,"T","1011.0","10.4","91"
"22",2019-03-24 22:00:00,"0.5","1010.1","10.3","92"
"23",2019-03-24 23:00:00,"T","1010.0","10.6","91"
"24",2019-03-25 00:00:00,"0.0","1009.1","10.6","91"
