"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","922.4","13.7","95"
"2",2019-03-24 02:00:00,"0.0","922.0","14.2","95"
"3",2019-03-24 03:00:00,"0.5","921.7","13.8","95"
"4",2019-03-24 04:00:00,"0.0","921.7","13.6","95"
"5",2019-03-24 05:00:00,"2.5","921.8","14.4","95"
"6",2019-03-24 06:00:00,"2.0","921.9","15.1","95"
"7",2019-03-24 07:00:00,"0.0","922.3","15.2","95"
"8",2019-03-24 08:00:00,"1.0","923.0","15.2","95"
"9",2019-03-24 09:00:00,"0.0","923.4","15.3","95"
"10",2019-03-24 10:00:00,"0.5","923.3","15.6","95"
"11",2019-03-24 11:00:00,"0.0","923.6","14.5","95"
"12",2019-03-24 12:00:00,"0.5","923.2","14.4","95"
"13",2019-03-24 13:00:00,"0.5","922.3","15.6","95"
"14",2019-03-24 14:00:00,"0.0","921.7","15.5","95"
"15",2019-03-24 15:00:00,"0.5","921.7","15.5","95"
"16",2019-03-24 16:00:00,"0.0","921.6","15.1","95"
"17",2019-03-24 17:00:00,"0.0","921.8","14.6","95"
"18",2019-03-24 18:00:00,"0.0","921.9","14.6","95"
"19",2019-03-24 19:00:00,"0.0","922.0","14.7","95"
"20",2019-03-24 20:00:00,"0.0","922.7","14.5","95"
"21",2019-03-24 21:00:00,"0.0","922.9","14.6","95"
"22",2019-03-24 22:00:00,"0.5","922.9","14.6","95"
"23",2019-03-24 23:00:00,"0.0","922.8","14.7","95"
"24",2019-03-25 00:00:00,"0.0","922.2","14.6","95"
