"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","790.1","10.1","99"
"2",2019-03-24 02:00:00,"0.0","789.7","9.9","99"
"3",2019-03-24 03:00:00,"5.0","789.4","10.0","99"
"4",2019-03-24 04:00:00,"1.0","789.2","10.1","99"
"5",2019-03-24 05:00:00,"0.5","789.4","10.1","99"
"6",2019-03-24 06:00:00,"2.0","789.7","10.0","99"
"7",2019-03-24 07:00:00,"5.5","790.2","9.8","99"
"8",2019-03-24 08:00:00,"2.0","790.6","9.4","99"
"9",2019-03-24 09:00:00,"1.0","790.9","9.4","99"
"10",2019-03-24 10:00:00,"2.5","791.0","9.7","99"
"11",2019-03-24 11:00:00,"3.0","790.7","9.9","99"
"12",2019-03-24 12:00:00,"1.5","790.6","9.4","99"
"13",2019-03-24 13:00:00,"4.5","790.3","9.4","99"
"14",2019-03-24 14:00:00,"1.0","789.8","9.2","99"
"15",2019-03-24 15:00:00,"0.5","789.7","9.0","99"
"16",2019-03-24 16:00:00,"0.5","789.4","8.9","99"
"17",2019-03-24 17:00:00,"0.0","789.3","8.8","99"
"18",2019-03-24 18:00:00,"0.0","789.8","8.8","99"
"19",2019-03-24 19:00:00,"0.0","790.0","8.4","99"
"20",2019-03-24 20:00:00,"0.0","790.5","8.5","99"
"21",2019-03-24 21:00:00,"0.0","791.0","8.6","99"
"22",2019-03-24 22:00:00,"0.0","790.8","8.6","99"
"23",2019-03-24 23:00:00,"0.0","790.6","8.5","99"
"24",2019-03-25 00:00:00,"0.0","790.5","8.6","96"
