"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1009.1","14.1","87"
"2",2019-03-24 02:00:00,"0.0","1008.9","13.8","90"
"3",2019-03-24 03:00:00,"0.5","1009.2","13.4","96"
"4",2019-03-24 04:00:00,"1.5","1009.0","13.0","98"
"5",2019-03-24 05:00:00,"5.5","1008.8","12.9","99"
"6",2019-03-24 06:00:00,"1.0","1008.9","13.0","99"
"7",2019-03-24 07:00:00,"0.5","1008.9","13.2","99"
"8",2019-03-24 08:00:00,"0.0","1009.5","13.4","99"
"9",2019-03-24 09:00:00,"0.5","1010.0","13.8","100"
"10",2019-03-24 10:00:00,"0.5","1009.7","14.0","99"
"11",2019-03-24 11:00:00,"0.5","1010.5","14.3","100"
"12",2019-03-24 12:00:00,"0.5","1009.4","14.7","99"
"13",2019-03-24 13:00:00,"0.0","1008.6","15.2","99"
"14",2019-03-24 14:00:00,"0.0","1007.3","17.0","98"
"15",2019-03-24 15:00:00,"0.5","1007.9","16.1","99"
"16",2019-03-24 16:00:00,"0.0","1007.8","16.0","99"
"17",2019-03-24 17:00:00,"0.0","1007.9","16.3","100"
"18",2019-03-24 18:00:00,"0.0","1008.0","16.5","100"
"19",2019-03-24 19:00:00,"0.0","1007.9","16.8","100"
"20",2019-03-24 20:00:00,"0.0","1008.4","16.7","100"
"21",2019-03-24 21:00:00,"0.0","1009.0","16.7","100"
"22",2019-03-24 22:00:00,"0.0","1008.8","16.8","100"
"23",2019-03-24 23:00:00,"0.0","1008.6","16.9","100"
"24",2019-03-25 00:00:00,"0.0","1007.8","17.0","100"
