"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","996.1","15.9","87"
"2",2019-03-24 02:00:00,"0.0","996.0","15.7","86"
"3",2019-03-24 03:00:00,"0.0","995.8","15.9","86"
"4",2019-03-24 04:00:00,"0.5","995.7","15.2","88"
"5",2019-03-24 05:00:00,"0.0","995.5","15.3","88"
"6",2019-03-24 06:00:00,"0.0","996.0","15.2","89"
"7",2019-03-24 07:00:00,"0.0","996.9","15.3","91"
"8",2019-03-24 08:00:00,"0.0","997.7","15.5","89"
"9",2019-03-24 09:00:00,"2.5","997.6","15.4","95"
"10",2019-03-24 10:00:00,"2.0","998.1","15.8","96"
"11",2019-03-24 11:00:00,"2.0","997.9","15.8","97"
"12",2019-03-24 12:00:00,"1.5","997.7","16.4","96"
"13",2019-03-24 13:00:00,"1.0","996.8","17.4","93"
"14",2019-03-24 14:00:00,"0.0","995.8","18.0","93"
"15",2019-03-24 15:00:00,"0.0","995.7","18.4","93"
"16",2019-03-24 16:00:00,"0.0","995.4","17.9","94"
"17",2019-03-24 17:00:00,"0.5","995.3","17.6","94"
"18",2019-03-24 18:00:00,"0.0","995.9","17.8","96"
"19",2019-03-24 19:00:00,"0.0","996.2","17.9","95"
"20",2019-03-24 20:00:00,"0.0","996.7","17.9","95"
"21",2019-03-24 21:00:00,"0.0","996.5","17.9","95"
"22",2019-03-24 22:00:00,"0.0","996.5","17.8","97"
"23",2019-03-24 23:00:00,"0.0","996.4","17.7","97"
"24",2019-03-25 00:00:00,"0.0","996.2","17.6","97"
