"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1004.7","16.2","85"
"2",2019-03-24 02:00:00,"0.0","1004.5","16.6","84"
"3",2019-03-24 03:00:00,"0.5","/","/","/"
"4",2019-03-24 04:00:00,"0.0","1004.3","15.9","83"
"5",2019-03-24 05:00:00,"0.0","1004.0","15.9","87"
"6",2019-03-24 06:00:00,"0.0","1004.4","16.2","84"
"7",2019-03-24 07:00:00,"0.0","1005.3","16.1","82"
"8",2019-03-24 08:00:00,"6.0","1006.1","15.6","89"
"9",2019-03-24 09:00:00,"1.0","1006.1","15.8","93"
"10",2019-03-24 10:00:00,"0.0","1006.6","16.5","94"
"11",2019-03-24 11:00:00,"2.5","1006.3","16.7","98"
"12",2019-03-24 12:00:00,"0.5","1006.2","17.0","99"
"13",2019-03-24 13:00:00,"1.0","1005.1","17.6","99"
"14",2019-03-24 14:00:00,"0.0","1004.3","18.2","99"
"15",2019-03-24 15:00:00,"0.0","1004.2","19.1","94"
"16",2019-03-24 16:00:00,"0.5","1003.8","19.0","94"
"17",2019-03-24 17:00:00,"0.0","1003.7","19.1","94"
"18",2019-03-24 18:00:00,"0.0","1004.0","19.0","97"
"19",2019-03-24 19:00:00,"0.0","1004.4","18.8","97"
"20",2019-03-24 20:00:00,"0.0","1005.1","18.8","97"
"21",2019-03-24 21:00:00,"0.0","1005.1","19.0","96"
"22",2019-03-24 22:00:00,"0.0","1005.0","19.0","97"
"23",2019-03-24 23:00:00,"0.0","1004.8","18.7","99"
"24",2019-03-25 00:00:00,"0.0","1004.6","18.7","99"
