"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1008.6","16.9","73"
"2",2019-03-24 02:00:00,"0.0","1008.5","16.6","73"
"3",2019-03-24 03:00:00,"0.0","1008.5","16.7","71"
"4",2019-03-24 04:00:00,"0.0","1008.0","16.4","74"
"5",2019-03-24 05:00:00,"0.0","1008.1","16.4","75"
"6",2019-03-24 06:00:00,"1.0","1008.5","15.7","89"
"7",2019-03-24 07:00:00,"0.0","1009.0","15.6","90"
"8",2019-03-24 08:00:00,"0.5","1009.5","16.0","92"
"9",2019-03-24 09:00:00,"0.5","1010.1","16.1","94"
"10",2019-03-24 10:00:00,"1.0","1010.1","16.3","96"
"11",2019-03-24 11:00:00,"1.0","1010.3","16.7","96"
"12",2019-03-24 12:00:00,"0.5","1009.9","16.9","97"
"13",2019-03-24 13:00:00,"1.0","1008.9","17.3","97"
"14",2019-03-24 14:00:00,"0.0","1008.2","18.5","95"
"15",2019-03-24 15:00:00,"0.0","1007.9","19.3","95"
"16",2019-03-24 16:00:00,"0.0","1007.6","19.6","93"
"17",2019-03-24 17:00:00,"0.0","1007.6","19.2","94"
"18",2019-03-24 18:00:00,"0.0","1007.8","18.9","94"
"19",2019-03-24 19:00:00,"0.0","1008.0","19.0","95"
"20",2019-03-24 20:00:00,"0.0","1008.8","19.0","92"
"21",2019-03-24 21:00:00,"0.0","1009.0","19.2","92"
"22",2019-03-24 22:00:00,"0.0","1008.9","19.6","89"
"23",2019-03-24 23:00:00,"0.0","1008.5","19.3","92"
"24",2019-03-25 00:00:00,"0.0","1008.1","19.2","93"
