"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1019.4","13.8","97"
"2",2019-03-24 02:00:00,"0.5","1018.6","13.6","97"
"3",2019-03-24 03:00:00,"0.5","1018.5","13.9","98"
"4",2019-03-24 04:00:00,"2.0","1018.0","13.8","97"
"5",2019-03-24 05:00:00,"0.0","1018.0","14.1","96"
"6",2019-03-24 06:00:00,"0.5","1018.0","14.3","94"
"7",2019-03-24 07:00:00,"0.0","1017.9","15.0","89"
"8",2019-03-24 08:00:00,"0.0","1018.1","15.9","85"
"9",2019-03-24 09:00:00,"0.0","1018.0","16.1","88"
"10",2019-03-24 10:00:00,"0.0","1017.4","16.8","85"
"11",2019-03-24 11:00:00,"0.0","1017.3","17.5","83"
"12",2019-03-24 12:00:00,"0.0","1016.9","17.7","84"
"13",2019-03-24 13:00:00,"0.0","1016.0","18.1","84"
"14",2019-03-24 14:00:00,"1.0","1015.1","17.6","91"
"15",2019-03-24 15:00:00,"0.5","1014.1","17.8","94"
"16",2019-03-24 16:00:00,"0.0","1014.1","18.2","89"
"17",2019-03-24 17:00:00,"0.0","1014.5","18.3","88"
"18",2019-03-24 18:00:00,"0.0","1014.7","18.0","92"
"19",2019-03-24 19:00:00,"0.0","1015.0","18.0","94"
"20",2019-03-24 20:00:00,"0.0","1014.6","18.6","91"
"21",2019-03-24 21:00:00,"0.0","1014.8","18.9","91"
"22",2019-03-24 22:00:00,"0.0","1014.5","18.3","96"
"23",2019-03-24 23:00:00,"0.0","1014.2","18.2","97"
"24",2019-03-25 00:00:00,"0.0","1014.0","18.0","98"
