"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1013.1","15.6","79"
"2",2019-03-24 02:00:00,"0.0","1013.1","15.5","80"
"3",2019-03-24 03:00:00,"0.0","1012.9","15.5","80"
"4",2019-03-24 04:00:00,"0.0","1012.5","15.6","77"
"5",2019-03-24 05:00:00,"0.0","1012.5","15.5","81"
"6",2019-03-24 06:00:00,"0.0","1013.0","15.4","83"
"7",2019-03-24 07:00:00,"0.0","1013.6","14.9","92"
"8",2019-03-24 08:00:00,"2.5","1013.9","14.6","98"
"9",2019-03-24 09:00:00,"2.5","1014.7","14.8","100"
"10",2019-03-24 10:00:00,"0.5","1014.7","15.1","100"
"11",2019-03-24 11:00:00,"2.0","1015.0","15.6","99"
"12",2019-03-24 12:00:00,"0.5","1014.3","16.2","98"
"13",2019-03-24 13:00:00,"1.0","1013.3","16.7","98"
"14",2019-03-24 14:00:00,"0.0","1012.7","17.3","98"
"15",2019-03-24 15:00:00,"0.5","1012.4","17.6","97"
"16",2019-03-24 16:00:00,"0.0","1012.1","17.8","97"
"17",2019-03-24 17:00:00,"0.0","1012.1","18.0","97"
"18",2019-03-24 18:00:00,"0.0","1012.4","18.0","97"
"19",2019-03-24 19:00:00,"0.0","1012.7","17.9","98"
"20",2019-03-24 20:00:00,"0.0","1012.8","17.8","100"
"21",2019-03-24 21:00:00,"0.0","1013.1","18.0","100"
"22",2019-03-24 22:00:00,"0.0","1013.1","18.0","100"
"23",2019-03-24 23:00:00,"0.0","1013.0","17.7","100"
"24",2019-03-25 00:00:00,"0.0","1012.5","17.6","100"
