"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","966.2","17.3","88"
"2",2019-03-24 02:00:00,"0.0","965.9","16.5","90"
"3",2019-03-24 03:00:00,"0.0","965.6","17.2","90"
"4",2019-03-24 04:00:00,"0.5","965.4","16.7","95"
"5",2019-03-24 05:00:00,"0.5","965.6","16.9","95"
"6",2019-03-24 06:00:00,"0.5","965.8","16.9","96"
"7",2019-03-24 07:00:00,"1.0","966.4","16.9","96"
"8",2019-03-24 08:00:00,"0.5","967.1","17.0","96"
"9",2019-03-24 09:00:00,"3.0","967.4","17.2","97"
"10",2019-03-24 10:00:00,"1.0","967.6","17.7","96"
"11",2019-03-24 11:00:00,"3.5","967.5","17.4","96"
"12",2019-03-24 12:00:00,"0.0","967.3","18.0","94"
"13",2019-03-24 13:00:00,"1.0","966.8","18.1","91"
"14",2019-03-24 14:00:00,"0.0","965.8","18.7","89"
"15",2019-03-24 15:00:00,"0.0","965.6","18.4","90"
"16",2019-03-24 16:00:00,"1.0","965.3","18.6","91"
"17",2019-03-24 17:00:00,"0.0","965.2","18.5","93"
"18",2019-03-24 18:00:00,"0.0","965.7","18.2","94"
"19",2019-03-24 19:00:00,"0.0","965.8","17.7","95"
"20",2019-03-24 20:00:00,"0.0","966.5","17.5","94"
"21",2019-03-24 21:00:00,"0.0","966.4","17.7","95"
"22",2019-03-24 22:00:00,"0.0","966.9","17.4","96"
"23",2019-03-24 23:00:00,"0.0","966.6","17.4","95"
"24",2019-03-25 00:00:00,"0.0","966.3","17.4","97"
