"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1013.2","15.9","89"
"2",2019-03-24 02:00:00,"0.0","1013.1","15.9","91"
"3",2019-03-24 03:00:00,"0.0","1013.1","15.6","93"
"4",2019-03-24 04:00:00,"X","1012.6","15.7","91"
"5",2019-03-24 05:00:00,"0.0","1012.7","16.1","94"
"6",2019-03-24 06:00:00,"0.0","1013.1","15.4","98"
"7",2019-03-24 07:00:00,"0.0","1013.8","14.7","100"
"8",2019-03-24 08:00:00,"2.5","1014.4","14.8","100"
"9",2019-03-24 09:00:00,"0.5","/","/","/"
"10",2019-03-24 10:00:00,"0.5","1015.3","15.4","100"
"11",2019-03-24 11:00:00,"1.5","1015.6","16.0","100"
"12",2019-03-24 12:00:00,"0.5","1014.9","16.5","100"
"13",2019-03-24 13:00:00,"0.5","1013.8","16.7","100"
"14",2019-03-24 14:00:00,"0.5","1013.2","17.4","100"
"15",2019-03-24 15:00:00,"0.5","1012.9","18.0","100"
"16",2019-03-24 16:00:00,"0.0","1012.6","18.0","100"
"17",2019-03-24 17:00:00,"0.0","1012.6","17.9","100"
"18",2019-03-24 18:00:00,"0.0","1012.9","17.9","99"
"19",2019-03-24 19:00:00,"0.0","1013.1","17.8","99"
"20",2019-03-24 20:00:00,"X","1013.3","17.8","99"
"21",2019-03-24 21:00:00,"0.0","1013.4","18.0","99"
"22",2019-03-24 22:00:00,"0.0","1013.4","18.0","99"
"23",2019-03-24 23:00:00,"0.0","1013.3","17.9","99"
"24",2019-03-25 00:00:00,"0.0","1012.9","17.8","99"
