"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.2","16.0","74"
"2",2019-03-24 02:00:00,"0.0","1015.2","16.1","73"
"3",2019-03-24 03:00:00,"0.0","1015.2","16.0","75"
"4",2019-03-24 04:00:00,"0.0","/","/","/"
"5",2019-03-24 05:00:00,"1.0","1015.0","14.6","92"
"6",2019-03-24 06:00:00,"0.0","1015.2","14.6","93"
"7",2019-03-24 07:00:00,"0.0","1015.4","14.8","94"
"8",2019-03-24 08:00:00,"0.0","1016.0","15.1","93"
"9",2019-03-24 09:00:00,"0.0","1016.6","15.5","92"
"10",2019-03-24 10:00:00,"0.5","1016.5","16.0","93"
"11",2019-03-24 11:00:00,"X","1016.7","16.5","93"
"12",2019-03-24 12:00:00,"0.5","1016.1","16.7","91"
"13",2019-03-24 13:00:00,"0.5","1014.9","17.8","90"
"14",2019-03-24 14:00:00,"0.0","1014.5","18.9","89"
"15",2019-03-24 15:00:00,"0.0","1014.3","19.1","92"
"16",2019-03-24 16:00:00,"0.0","1014.0","19.6","88"
"17",2019-03-24 17:00:00,"0.0","1014.0","19.6","87"
"18",2019-03-24 18:00:00,"0.0","1014.1","19.3","89"
"19",2019-03-24 19:00:00,"0.0","1014.1","19.1","90"
"20",2019-03-24 20:00:00,"0.0","1014.8","19.2","91"
"21",2019-03-24 21:00:00,"0.0","1015.1","19.2","92"
"22",2019-03-24 22:00:00,"0.0","1015.0","19.1","94"
"23",2019-03-24 23:00:00,"0.0","1015.0","19.1","94"
"24",2019-03-25 00:00:00,"0.0","1014.1","19.1","95"
