"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","904.1","14.8","93"
"2",2019-03-24 02:00:00,"0.0","903.9","15.4","96"
"3",2019-03-24 03:00:00,"0.0","903.6","15.1","95"
"4",2019-03-24 04:00:00,"0.5","903.5","15.4","93"
"5",2019-03-24 05:00:00,"0.5","903.7","15.4","94"
"6",2019-03-24 06:00:00,"0.0","903.8","15.5","95"
"7",2019-03-24 07:00:00,"T","904.5","15.4","94"
"8",2019-03-24 08:00:00,"2.5","905.1","15.6","94"
"9",2019-03-24 09:00:00,"7.0","905.4","15.5","93"
"10",2019-03-24 10:00:00,"0.5","905.6","16.0","94"
"11",2019-03-24 11:00:00,"3.5","905.3","15.8","94"
"12",2019-03-24 12:00:00,"1.0","905.3","14.9","95"
"13",2019-03-24 13:00:00,"2.0","904.6","14.9","92"
"14",2019-03-24 14:00:00,"1.0","904.2","15.3","97"
"15",2019-03-24 15:00:00,"0.5","903.7","15.3","94"
"16",2019-03-24 16:00:00,"T","903.5","15.6","94"
"17",2019-03-24 17:00:00,"0.0","903.5","15.1","95"
"18",2019-03-24 18:00:00,"0.0","903.8","15.1","94"
"19",2019-03-24 19:00:00,"0.0","904.0","15.1","94"
"20",2019-03-24 20:00:00,"0.0","904.5","14.7","94"
"21",2019-03-24 21:00:00,"0.0","904.5","14.8","92"
"22",2019-03-24 22:00:00,"0.0","904.9","14.6","94"
"23",2019-03-24 23:00:00,"0.0","904.7","14.0","93"
"24",2019-03-25 00:00:00,"0.0","904.4","14.4","92"
