"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1012.9","13.5","85"
"2",2019-03-24 02:00:00,"0.5","1012.0","14.0","83"
"3",2019-03-24 03:00:00,"0.0","1011.9","14.2","83"
"4",2019-03-24 04:00:00,"1.0","1011.8","13.8","85"
"5",2019-03-24 05:00:00,"1.0","1011.4","14.6","79"
"6",2019-03-24 06:00:00,"0.5","1011.7","14.4","85"
"7",2019-03-24 07:00:00,"0.5","1011.8","15.0","83"
"8",2019-03-24 08:00:00,"0.0","1011.5","16.3","74"
"9",2019-03-24 09:00:00,"0.0","1012.2","16.0","81"
"10",2019-03-24 10:00:00,"0.0","1011.5","15.6","86"
"11",2019-03-24 11:00:00,"0.0","1011.0","15.8","86"
"12",2019-03-24 12:00:00,"0.5","1010.7","16.1","84"
"13",2019-03-24 13:00:00,"0.0","1009.8","16.4","84"
"14",2019-03-24 14:00:00,"0.0","1009.1","16.3","88"
"15",2019-03-24 15:00:00,"2.5","1006.9","16.9","93"
"16",2019-03-24 16:00:00,"0.5","1007.6","17.1","94"
"17",2019-03-24 17:00:00,"4.0","1008.2","16.5","95"
"18",2019-03-24 18:00:00,"3.0","1008.1","17.3","96"
"19",2019-03-24 19:00:00,"1.5","1008.4","17.2","95"
"20",2019-03-24 20:00:00,"1.0","1008.7","17.3","91"
"21",2019-03-24 21:00:00,"0.0","1008.5","17.5","89"
"22",2019-03-24 22:00:00,"0.0","1008.0","17.7","86"
"23",2019-03-24 23:00:00,"0.0","1007.5","18.2","83"
"24",2019-03-25 00:00:00,"0.0","1006.8","18.4","80"
