"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","996.5","12.1","99"
"2",2019-03-24 02:00:00,"1.0","995.9","12.4","99"
"3",2019-03-24 03:00:00,"0.0","995.9","12.7","99"
"4",2019-03-24 04:00:00,"0.0","995.1","13.0","99"
"5",2019-03-24 05:00:00,"X","994.8","13.6","94"
"6",2019-03-24 06:00:00,"0.0","994.6","13.6","96"
"7",2019-03-24 07:00:00,"0.0","994.4","14.3","92"
"8",2019-03-24 08:00:00,"0.0","995.1","15.1","90"
"9",2019-03-24 09:00:00,"0.5","995.0","14.6","99"
"10",2019-03-24 10:00:00,"X","/","/","/"
"11",2019-03-24 11:00:00,"0.0","994.6","15.1","99"
"12",2019-03-24 12:00:00,"0.0","/","/","/"
"13",2019-03-24 13:00:00,"0.5","993.3","15.2","99"
"14",2019-03-24 14:00:00,"1.5","991.9","15.3","99"
"15",2019-03-24 15:00:00,"1.0","991.5","15.8","100"
"16",2019-03-24 16:00:00,"X","991.6","15.6","100"
"17",2019-03-24 17:00:00,"0.5","991.8","15.7","100"
"18",2019-03-24 18:00:00,"1.0","991.8","15.7","100"
"19",2019-03-24 19:00:00,"0.0","992.1","15.8","99"
"20",2019-03-24 20:00:00,"0.5","/","/","/"
"21",2019-03-24 21:00:00,"0.5","992.1","16.2","100"
"22",2019-03-24 22:00:00,"0.0","/","/","/"
"23",2019-03-24 23:00:00,"0.0","991.1","16.3","100"
"24",2019-03-25 00:00:00,"0.0","990.6","16.2","99"
