"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.0","14.4","99"
"2",2019-03-24 02:00:00,"0.0","1014.1","14.3","99"
"3",2019-03-24 03:00:00,"1.0","1014.2","14.0","99"
"4",2019-03-24 04:00:00,"0.5","1013.9","13.9","99"
"5",2019-03-24 05:00:00,"1.0","1013.4","14.2","99"
"6",2019-03-24 06:00:00,"0.5","1013.0","14.4","99"
"7",2019-03-24 07:00:00,"0.0","1012.6","15.3","98"
"8",2019-03-24 08:00:00,"0.0","1012.7","15.7","98"
"9",2019-03-24 09:00:00,"0.5","1013.3","15.9","99"
"10",2019-03-24 10:00:00,"0.0","1012.2","16.5","99"
"11",2019-03-24 11:00:00,"0.5","1013.2","16.6","99"
"12",2019-03-24 12:00:00,"0.0","1012.9","16.9","99"
"13",2019-03-24 13:00:00,"0.0","1012.3","17.2","99"
"14",2019-03-24 14:00:00,"0.5","1011.0","17.3","99"
"15",2019-03-24 15:00:00,"0.5","1010.4","17.5","99"
"16",2019-03-24 16:00:00,"0.0","1011.0","17.8","99"
"17",2019-03-24 17:00:00,"0.0","1011.4","17.5","99"
"18",2019-03-24 18:00:00,"0.0","1011.6","17.1","99"
"19",2019-03-24 19:00:00,"0.0","1011.7","17.1","99"
"20",2019-03-24 20:00:00,"0.5","1011.5","16.9","99"
"21",2019-03-24 21:00:00,"0.0","1012.1","16.9","99"
"22",2019-03-24 22:00:00,"0.0","1011.7","16.8","99"
"23",2019-03-24 23:00:00,"0.0","1011.5","16.8","99"
"24",2019-03-25 00:00:00,"0.0","1011.1","16.7","99"
