"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","977.7","12.6","87"
"2",2019-03-24 02:00:00,"0.0","977.4","12.5","87"
"3",2019-03-24 03:00:00,"0.0","977.6","11.9","93"
"4",2019-03-24 04:00:00,"0.0","977.3","11.8","94"
"5",2019-03-24 05:00:00,"1.5","976.9","11.9","96"
"6",2019-03-24 06:00:00,"0.5","977.4","11.9","97"
"7",2019-03-24 07:00:00,"0.0","977.4","12.3","98"
"8",2019-03-24 08:00:00,"0.0","977.9","13.0","98"
"9",2019-03-24 09:00:00,"0.0","978.7","13.9","98"
"10",2019-03-24 10:00:00,"0.5","978.6","15.7","98"
"11",2019-03-24 11:00:00,"0.0","978.9","14.3","97"
"12",2019-03-24 12:00:00,"1.0","/","/","/"
"13",2019-03-24 13:00:00,"0.5","977.5","16.2","98"
"14",2019-03-24 14:00:00,"0.0","976.7","17.9","92"
"15",2019-03-24 15:00:00,"0.5","976.8","17.6","94"
"16",2019-03-24 16:00:00,"0.0","976.6","16.2","97"
"17",2019-03-24 17:00:00,"0.0","976.7","16.4","98"
"18",2019-03-24 18:00:00,"0.0","977.1","15.9","99"
"19",2019-03-24 19:00:00,"0.0","977.1","15.7","99"
"20",2019-03-24 20:00:00,"0.0","977.6","15.8","99"
"21",2019-03-24 21:00:00,"0.0","977.8","16.2","99"
"22",2019-03-24 22:00:00,"0.0","977.7","16.5","99"
"23",2019-03-24 23:00:00,"0.0","977.6","16.4","99"
"24",2019-03-25 00:00:00,"0.0","977.0","16.4","99"
