"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1013.0","13.2","94"
"2",2019-03-24 02:00:00,"0.5","1012.7","13.7","92"
"3",2019-03-24 03:00:00,"0.0","1012.4","13.9","88"
"4",2019-03-24 04:00:00,"0.0","1011.7","14.2","88"
"5",2019-03-24 05:00:00,"0.0","1011.3","14.8","81"
"6",2019-03-24 06:00:00,"0.0","1010.9","15.5","77"
"7",2019-03-24 07:00:00,"0.0","1010.5","16.2","74"
"8",2019-03-24 08:00:00,"0.0","1011.0","16.6","73"
"9",2019-03-24 09:00:00,"0.0","1010.9","16.3","83"
"10",2019-03-24 10:00:00,"0.0","1010.3","16.7","85"
"11",2019-03-24 11:00:00,"0.0","1010.7","17.0","84"
"12",2019-03-24 12:00:00,"0.0","1010.0","17.0","89"
"13",2019-03-24 13:00:00,"0.5","1009.4","16.4","96"
"14",2019-03-24 14:00:00,"1.0","1007.9","16.6","97"
"15",2019-03-24 15:00:00,"0.0","1007.9","17.0","97"
"16",2019-03-24 16:00:00,"0.0","1007.9","17.1","98"
"17",2019-03-24 17:00:00,"0.0","1008.1","17.1","99"
"18",2019-03-24 18:00:00,"0.5","1008.0","17.2","96"
"19",2019-03-24 19:00:00,"0.5","1008.5","17.5","96"
"20",2019-03-24 20:00:00,"0.0","1007.9","17.6","96"
"21",2019-03-24 21:00:00,"0.0","1008.4","18.4","94"
"22",2019-03-24 22:00:00,"0.0","1008.1","17.6","95"
"23",2019-03-24 23:00:00,"0.0","1007.6","17.2","97"
"24",2019-03-25 00:00:00,"0.0","1007.4","17.2","97"
