"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.3","15.8","79"
"2",2019-03-24 02:00:00,"0.0","1015.0","15.9","77"
"3",2019-03-24 03:00:00,"0.0","1014.8","16.0","77"
"4",2019-03-24 04:00:00,"X","1014.2","15.6","81"
"5",2019-03-24 05:00:00,"1.5","1014.8","14.5","98"
"6",2019-03-24 06:00:00,"0.0","1015.0","14.5","100"
"7",2019-03-24 07:00:00,"0.5","1015.5","14.5","100"
"8",2019-03-24 08:00:00,"0.5","1016.0","14.8","100"
"9",2019-03-24 09:00:00,"0.0","1016.7","15.2","100"
"10",2019-03-24 10:00:00,"3.5","1016.5","15.3","100"
"11",2019-03-24 11:00:00,"0.5","1016.5","15.8","100"
"12",2019-03-24 12:00:00,"0.5","1016.2","16.6","100"
"13",2019-03-24 13:00:00,"0.5","1015.0","17.2","100"
"14",2019-03-24 14:00:00,"0.0","1014.7","18.0","100"
"15",2019-03-24 15:00:00,"0.0","1014.2","18.0","100"
"16",2019-03-24 16:00:00,"0.0","1014.0","18.6","100"
"17",2019-03-24 17:00:00,"0.0","1013.8","19.0","100"
"18",2019-03-24 18:00:00,"0.0","1014.3","18.7","100"
"19",2019-03-24 19:00:00,"0.0","1014.6","18.7","100"
"20",2019-03-24 20:00:00,"0.0","1014.8","18.8","100"
"21",2019-03-24 21:00:00,"0.0","1015.0","18.9","100"
"22",2019-03-24 22:00:00,"0.0","1015.1","18.9","100"
"23",2019-03-24 23:00:00,"0.0","1014.9","18.9","100"
"24",2019-03-25 00:00:00,"0.0","1014.2","18.9","100"
