"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1021.7","14.2","87"
"2",2019-03-24 02:00:00,"0.0","1021.2","14.3","83"
"3",2019-03-24 03:00:00,"0.5","1021.2","14.7","83"
"4",2019-03-24 04:00:00,"0.5","/","/","/"
"5",2019-03-24 05:00:00,"0.0","/","/","/"
"6",2019-03-24 06:00:00,"0.0","1020.1","15.2","80"
"7",2019-03-24 07:00:00,"0.5","1019.8","15.9","76"
"8",2019-03-24 08:00:00,"0.0","1020.0","17.2","70"
"9",2019-03-24 09:00:00,"0.0","1020.1","16.8","77"
"10",2019-03-24 10:00:00,"0.0","1019.3","17.4","75"
"11",2019-03-24 11:00:00,"X","1019.6","18.2","73"
"12",2019-03-24 12:00:00,"0.0","/","/","/"
"13",2019-03-24 13:00:00,"0.0","1018.5","18.3","75"
"14",2019-03-24 14:00:00,"0.5","1017.1","18.5","76"
"15",2019-03-24 15:00:00,"0.0","1016.7","18.4","80"
"16",2019-03-24 16:00:00,"X","1016.7","18.8","76"
"17",2019-03-24 17:00:00,"X","1017.1","18.9","78"
"18",2019-03-24 18:00:00,"X","1017.1","18.8","80"
"19",2019-03-24 19:00:00,"0.5","/","/","/"
"20",2019-03-24 20:00:00,"0.0","/","/","/"
"21",2019-03-24 21:00:00,"0.0","/","/","/"
"22",2019-03-24 22:00:00,"0.0","1017.2","18.0","93"
"23",2019-03-24 23:00:00,"0.0","1016.8","18.0","94"
"24",2019-03-25 00:00:00,"0.0","1016.7","18.0","94"
