"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","996.3","12.1","96"
"2",2019-03-24 02:00:00,"0.0","995.4","11.9","97"
"3",2019-03-24 03:00:00,"1.5","995.4","12.0","97"
"4",2019-03-24 04:00:00,"2.0","/","/","/"
"5",2019-03-24 05:00:00,"1.5","994.8","12.1","98"
"6",2019-03-24 06:00:00,"0.5","/","/","/"
"7",2019-03-24 07:00:00,"0.0","/","/","/"
"8",2019-03-24 08:00:00,"0.0","/","/","/"
"9",2019-03-24 09:00:00,"0.5","/","/","/"
"10",2019-03-24 10:00:00,"0.5","/","/","/"
"11",2019-03-24 11:00:00,"0.5","994.5","14.8","93"
"12",2019-03-24 12:00:00,"0.0","993.6","15.3","91"
"13",2019-03-24 13:00:00,"X","/","/","/"
"14",2019-03-24 14:00:00,"0.0","/","/","/"
"15",2019-03-24 15:00:00,"1.0","/","/","/"
"16",2019-03-24 16:00:00,"0.0","/","/","/"
"17",2019-03-24 17:00:00,"0.0","/","/","/"
"18",2019-03-24 18:00:00,"0.0","991.9","15.9","96"
"19",2019-03-24 19:00:00,"0.0","991.9","15.7","97"
"20",2019-03-24 20:00:00,"0.0","991.7","16.1","96"
"21",2019-03-24 21:00:00,"0.0","992.0","15.9","97"
"22",2019-03-24 22:00:00,"0.0","/","/","/"
"23",2019-03-24 23:00:00,"X","991.4","16.2","96"
"24",2019-03-25 00:00:00,"0.0","991.1","15.8","97"
