"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1019.9","14.2","85"
"2",2019-03-24 02:00:00,"0.0","1019.4","14.3","82"
"3",2019-03-24 03:00:00,"0.5","1019.5","14.4","84"
"4",2019-03-24 04:00:00,"2.0","1018.8","14.3","84"
"5",2019-03-24 05:00:00,"0.5","1018.8","14.5","83"
"6",2019-03-24 06:00:00,"0.0","1018.5","14.9","82"
"7",2019-03-24 07:00:00,"0.0","1018.2","15.6","77"
"8",2019-03-24 08:00:00,"0.0","1018.4","16.8","71"
"9",2019-03-24 09:00:00,"0.0","1018.3","17.0","73"
"10",2019-03-24 10:00:00,"0.0","1017.6","17.5","73"
"11",2019-03-24 11:00:00,"0.0","1017.9","17.8","73"
"12",2019-03-24 12:00:00,"0.0","1017.6","18.2","73"
"13",2019-03-24 13:00:00,"0.0","1016.8","18.5","73"
"14",2019-03-24 14:00:00,"0.5","1015.7","18.1","78"
"15",2019-03-24 15:00:00,"0.5","1014.9","18.2","79"
"16",2019-03-24 16:00:00,"0.0","1015.1","18.6","77"
"17",2019-03-24 17:00:00,"0.0","1015.4","18.8","76"
"18",2019-03-24 18:00:00,"0.0","1015.5","18.6","80"
"19",2019-03-24 19:00:00,"0.0","1015.8","18.4","83"
"20",2019-03-24 20:00:00,"0.0","1015.4","18.5","83"
"21",2019-03-24 21:00:00,"0.0","1015.8","18.8","83"
"22",2019-03-24 22:00:00,"0.0","1015.5","18.7","85"
"23",2019-03-24 23:00:00,"0.0","1015.2","18.6","87"
"24",2019-03-25 00:00:00,"0.0","1014.9","18.5","87"
