"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1020.7","14.7","79"
"2",2019-03-24 02:00:00,"0.0","1020.3","14.8","77"
"3",2019-03-24 03:00:00,"0.0","1020.3","15.3","75"
"4",2019-03-24 04:00:00,"0.5","1019.5","15.2","75"
"5",2019-03-24 05:00:00,"0.0","1019.5","15.6","73"
"6",2019-03-24 06:00:00,"0.0","1019.2","15.9","72"
"7",2019-03-24 07:00:00,"0.0","1018.9","16.7","68"
"8",2019-03-24 08:00:00,"0.0","1019.2","17.4","68"
"9",2019-03-24 09:00:00,"0.5","1019.1","17.5","72"
"10",2019-03-24 10:00:00,"0.0","1018.4","17.9","70"
"11",2019-03-24 11:00:00,"0.0","1018.9","18.3","70"
"12",2019-03-24 12:00:00,"0.0","1018.5","18.8","70"
"13",2019-03-24 13:00:00,"0.0","1017.8","18.8","72"
"14",2019-03-24 14:00:00,"0.5","1016.5","18.5","75"
"15",2019-03-24 15:00:00,"0.0","1015.9","18.7","76"
"16",2019-03-24 16:00:00,"0.0","1016.0","18.7","77"
"17",2019-03-24 17:00:00,"0.0","1016.3","18.9","76"
"18",2019-03-24 18:00:00,"0.0","1016.4","18.9","77"
"19",2019-03-24 19:00:00,"0.5","1016.8","18.6","84"
"20",2019-03-24 20:00:00,"0.0","1016.2","19.0","78"
"21",2019-03-24 21:00:00,"0.0","1016.7","19.0","81"
"22",2019-03-24 22:00:00,"0.0","1016.4","18.7","85"
"23",2019-03-24 23:00:00,"0.0","1016.2","18.5","86"
"24",2019-03-25 00:00:00,"0.0","1015.9","18.3","89"
