"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"1.0","993.1","12.7","91"
"2",2019-03-24 02:00:00,"0.0","992.7","12.5","93"
"3",2019-03-24 03:00:00,"0.5","992.8","12.4","95"
"4",2019-03-24 04:00:00,"0.5","992.8","12.3","94"
"5",2019-03-24 05:00:00,"3.0","992.4","12.4","96"
"6",2019-03-24 06:00:00,"3.0","992.6","12.4","96"
"7",2019-03-24 07:00:00,"0.0","992.6","12.8","96"
"8",2019-03-24 08:00:00,"0.0","993.2","13.3","96"
"9",2019-03-24 09:00:00,"0.5","993.8","13.3","96"
"10",2019-03-24 10:00:00,"0.0","993.2","14.1","96"
"11",2019-03-24 11:00:00,"0.5","994.2","13.9","95"
"12",2019-03-24 12:00:00,"0.5","993.2","14.1","96"
"13",2019-03-24 13:00:00,"0.5","992.5","14.7","96"
"14",2019-03-24 14:00:00,"0.0","991.3","15.9","95"
"15",2019-03-24 15:00:00,"0.0","991.4","16.8","93"
"16",2019-03-24 16:00:00,"0.0","991.7","15.5","96"
"17",2019-03-24 17:00:00,"0.0","991.8","15.3","96"
"18",2019-03-24 18:00:00,"0.5","992.1","15.4","96"
"19",2019-03-24 19:00:00,"0.0","992.1","15.5","97"
"20",2019-03-24 20:00:00,"0.0","992.6","15.6","97"
"21",2019-03-24 21:00:00,"0.0","992.9","15.8","97"
"22",2019-03-24 22:00:00,"0.0","992.8","15.9","97"
"23",2019-03-24 23:00:00,"0.0","992.5","16.1","97"
"24",2019-03-25 00:00:00,"0.0","991.8","16.1","97"
