"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1017.6","16.3","73"
"2",2019-03-24 02:00:00,"0.0","1017.1","16.2","77"
"3",2019-03-24 03:00:00,"0.0","1017.0","16.6","78"
"4",2019-03-24 04:00:00,"0.0","1016.7","16.7","80"
"5",2019-03-24 05:00:00,"0.0","1017.0","16.2","78"
"6",2019-03-24 06:00:00,"0.0","1017.3","15.9","77"
"7",2019-03-24 07:00:00,"0.0","1018.0","16.1","80"
"8",2019-03-24 08:00:00,"0.0","1018.1","16.1","87"
"9",2019-03-24 09:00:00,"0.5","1019.2","15.5","95"
"10",2019-03-24 10:00:00,"3.5","1019.1","15.4","97"
"11",2019-03-24 11:00:00,"4.5","1019.1","16.2","98"
"12",2019-03-24 12:00:00,"2.0","1018.5","16.5","98"
"13",2019-03-24 13:00:00,"1.0","1017.9","16.7","98"
"14",2019-03-24 14:00:00,"0.0","1017.2","17.5","97"
"15",2019-03-24 15:00:00,"0.0","1016.6","18.0","94"
"16",2019-03-24 16:00:00,"0.0","1016.1","17.9","94"
"17",2019-03-24 17:00:00,"0.5","1016.3","18.2","94"
"18",2019-03-24 18:00:00,"0.0","1016.5","18.0","95"
"19",2019-03-24 19:00:00,"0.0","1016.9","17.6","96"
"20",2019-03-24 20:00:00,"0.0","1016.9","17.5","97"
"21",2019-03-24 21:00:00,"0.0","1017.4","17.5","96"
"22",2019-03-24 22:00:00,"0.0","1017.4","17.3","96"
"23",2019-03-24 23:00:00,"0.0","1017.1","17.0","97"
"24",2019-03-25 00:00:00,"0.0","1016.5","17.0","97"
