"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1007.5","16.8","75"
"2",2019-03-24 02:00:00,"0.0","1007.4","17.0","75"
"3",2019-03-24 03:00:00,"0.0","1007.4","16.3","75"
"4",2019-03-24 04:00:00,"0.0","1006.9","16.4","75"
"5",2019-03-24 05:00:00,"0.0","1006.9","16.6","76"
"6",2019-03-24 06:00:00,"1.0","1007.4","15.3","90"
"7",2019-03-24 07:00:00,"0.5","1008.0","15.1","94"
"8",2019-03-24 08:00:00,"0.5","1008.5","15.8","95"
"9",2019-03-24 09:00:00,"T","1009.0","16.3","94"
"10",2019-03-24 10:00:00,"1.5","1009.1","16.7","97"
"11",2019-03-24 11:00:00,"0.5","1009.2","17.1","93"
"12",2019-03-24 12:00:00,"0.5","1008.8","16.8","94"
"13",2019-03-24 13:00:00,"1.5","1007.9","17.5","96"
"14",2019-03-24 14:00:00,"T","1007.0","18.6","95"
"15",2019-03-24 15:00:00,"0.0","1006.8","19.3","93"
"16",2019-03-24 16:00:00,"0.0","1006.5","19.3","91"
"17",2019-03-24 17:00:00,"0.0","1006.5","19.2","92"
"18",2019-03-24 18:00:00,"T","1006.7","19.2","91"
"19",2019-03-24 19:00:00,"T","1006.9","18.6","91"
"20",2019-03-24 20:00:00,"0.0","1007.7","18.6","92"
"21",2019-03-24 21:00:00,"0.0","1007.9","18.5","93"
"22",2019-03-24 22:00:00,"0.0","1007.7","18.8","92"
"23",2019-03-24 23:00:00,"0.0","1007.4","18.9","93"
"24",2019-03-25 00:00:00,"0.0","1007.0","18.4","93"
