"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1018.4","14.2","88"
"2",2019-03-24 02:00:00,"T","1017.9","14.3","87"
"3",2019-03-24 03:00:00,"2.0","1017.9","14.1","89"
"4",2019-03-24 04:00:00,"2.0","1017.2","14.2","89"
"5",2019-03-24 05:00:00,"0.5","1017.4","14.7","86"
"6",2019-03-24 06:00:00,"0.5","1016.9","14.7","87"
"7",2019-03-24 07:00:00,"T","1016.9","15.7","84"
"8",2019-03-24 08:00:00,"T","1016.8","16.4","82"
"9",2019-03-24 09:00:00,"T","1016.9","16.5","79"
"10",2019-03-24 10:00:00,"T","1016.1","16.7","82"
"11",2019-03-24 11:00:00,"0.5","1016.2","17.4","81"
"12",2019-03-24 12:00:00,"T","1015.8","17.6","83"
"13",2019-03-24 13:00:00,"T","1015.1","18.0","83"
"14",2019-03-24 14:00:00,"0.5","1014.1","17.7","84"
"15",2019-03-24 15:00:00,"0.5","1013.1","17.8","88"
"16",2019-03-24 16:00:00,"T","1013.5","18.3","86"
"17",2019-03-24 17:00:00,"0.0","1013.7","18.3","86"
"18",2019-03-24 18:00:00,"0.0","1014.0","18.4","86"
"19",2019-03-24 19:00:00,"0.0","1014.1","18.4","85"
"20",2019-03-24 20:00:00,"0.0","1013.8","18.6","84"
"21",2019-03-24 21:00:00,"0.0","1014.3","18.6","84"
"22",2019-03-24 22:00:00,"0.0","1013.9","18.5","86"
"23",2019-03-24 23:00:00,"0.0","1013.5","18.1","87"
"24",2019-03-25 00:00:00,"0.0","1013.3","18.0","85"
