"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1018.7","13.3","95"
"2",2019-03-24 02:00:00,"0.0","1018.1","13.2","96"
"3",2019-03-24 03:00:00,"0.5","1017.9","13.8","91"
"4",2019-03-24 04:00:00,"0.0","1017.1","14.5","86"
"5",2019-03-24 05:00:00,"0.0","1016.5","14.7","86"
"6",2019-03-24 06:00:00,"0.0","1016.6","15.5","77"
"7",2019-03-24 07:00:00,"0.0","1015.9","16.3","72"
"8",2019-03-24 08:00:00,"0.0","1017.0","17.5","69"
"9",2019-03-24 09:00:00,"0.0","1016.4","17.4","74"
"10",2019-03-24 10:00:00,"0.0","1016.1","18.0","71"
"11",2019-03-24 11:00:00,"0.0","1016.5","18.3","73"
"12",2019-03-24 12:00:00,"0.0","1015.7","18.5","73"
"13",2019-03-24 13:00:00,"0.5","1014.7","18.2","76"
"14",2019-03-24 14:00:00,"0.5","1013.4","18.4","77"
"15",2019-03-24 15:00:00,"0.5","1013.8","18.5","79"
"16",2019-03-24 16:00:00,"0.0","1013.7","19.4","71"
"17",2019-03-24 17:00:00,"0.0","1014.1","18.8","77"
"18",2019-03-24 18:00:00,"0.0","1014.1","18.2","84"
"19",2019-03-24 19:00:00,"0.0","1014.5","18.0","88"
"20",2019-03-24 20:00:00,"0.5","1014.1","18.6","84"
"21",2019-03-24 21:00:00,"0.0","1014.7","18.8","83"
"22",2019-03-24 22:00:00,"0.0","1014.2","18.8","84"
"23",2019-03-24 23:00:00,"0.0","1013.8","18.4","86"
"24",2019-03-25 00:00:00,"0.0","1013.9","18.1","90"
