"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1008.9","13.4","88"
"2",2019-03-24 02:00:00,"0.0","1008.0","13.4","89"
"3",2019-03-24 03:00:00,"0.5","1008.1","13.3","90"
"4",2019-03-24 04:00:00,"1.0","1008.0","13.3","91"
"5",2019-03-24 05:00:00,"0.5","1006.9","13.6","87"
"6",2019-03-24 06:00:00,"0.0","1006.5","14.1","83"
"7",2019-03-24 07:00:00,"0.0","1006.1","14.9","78"
"8",2019-03-24 08:00:00,"0.0","1006.8","15.4","79"
"9",2019-03-24 09:00:00,"0.0","1006.8","15.7","82"
"10",2019-03-24 10:00:00,"0.0","1006.5","15.9","84"
"11",2019-03-24 11:00:00,"0.5","1007.2","16.4","83"
"12",2019-03-24 12:00:00,"0.0","1006.5","16.8","82"
"13",2019-03-24 13:00:00,"0.0","1006.1","16.7","84"
"14",2019-03-24 14:00:00,"0.0","1004.6","17.1","84"
"15",2019-03-24 15:00:00,"0.5","1004.4","16.8","88"
"16",2019-03-24 16:00:00,"0.0","1004.8","17.4","85"
"17",2019-03-24 17:00:00,"0.0","1005.3","17.1","89"
"18",2019-03-24 18:00:00,"0.0","1005.4","16.7","93"
"19",2019-03-24 19:00:00,"0.5","1005.6","17.1","90"
"20",2019-03-24 20:00:00,"0.0","1005.3","17.3","89"
"21",2019-03-24 21:00:00,"0.0","1005.9","17.4","90"
"22",2019-03-24 22:00:00,"0.0","1005.5","17.3","91"
"23",2019-03-24 23:00:00,"0.0","1005.3","17.1","92"
"24",2019-03-25 00:00:00,"0.0","1005.1","16.9","92"
