"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1018.1","14.5","80"
"2",2019-03-24 02:00:00,"0.0","1017.5","14.6","79"
"3",2019-03-24 03:00:00,"0.0","1017.5","14.9","78"
"4",2019-03-24 04:00:00,"0.0","1016.7","15.0","76"
"5",2019-03-24 05:00:00,"0.0","1016.7","15.3","76"
"6",2019-03-24 06:00:00,"0.5","1016.5","15.6","74"
"7",2019-03-24 07:00:00,"0.0","1016.5","16.4","69"
"8",2019-03-24 08:00:00,"0.0","1016.7","17.1","69"
"9",2019-03-24 09:00:00,"0.0","1016.6","17.2","73"
"10",2019-03-24 10:00:00,"0.0","1016.0","17.6","71"
"11",2019-03-24 11:00:00,"0.5","1016.4","18.0","71"
"12",2019-03-24 12:00:00,"0.0","1016.0","18.5","70"
"13",2019-03-24 13:00:00,"0.0","1015.2","18.6","73"
"14",2019-03-24 14:00:00,"0.0","1014.1","18.5","73"
"15",2019-03-24 15:00:00,"0.5","1013.3","18.8","73"
"16",2019-03-24 16:00:00,"0.0","1013.3","18.9","73"
"17",2019-03-24 17:00:00,"0.0","1013.6","18.9","75"
"18",2019-03-24 18:00:00,"0.0","1013.7","18.6","77"
"19",2019-03-24 19:00:00,"0.0","1014.1","19.2","74"
"20",2019-03-24 20:00:00,"0.0","1013.6","19.9","71"
"21",2019-03-24 21:00:00,"0.0","1014.1","20.2","71"
"22",2019-03-24 22:00:00,"0.0","1013.8","19.3","78"
"23",2019-03-24 23:00:00,"0.0","1013.5","18.6","82"
"24",2019-03-25 00:00:00,"0.0","1013.3","18.1","87"
