"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1013.8","16.4","86"
"2",2019-03-24 02:00:00,"0.0","1013.6","16.2","88"
"3",2019-03-24 03:00:00,"0.0","1013.6","15.9","92"
"4",2019-03-24 04:00:00,"0.0","1013.1","16.0","89"
"5",2019-03-24 05:00:00,"0.0","1013.1","16.2","94"
"6",2019-03-24 06:00:00,"0.0","1013.6","16.3","91"
"7",2019-03-24 07:00:00,"0.0","1014.2","15.5","100"
"8",2019-03-24 08:00:00,"4.0","1014.7","15.3","100"
"9",2019-03-24 09:00:00,"1.5","1015.4","15.3","100"
"10",2019-03-24 10:00:00,"0.5","1015.5","15.7","100"
"11",2019-03-24 11:00:00,"1.5","1015.7","16.2","100"
"12",2019-03-24 12:00:00,"0.5","1015.0","16.9","100"
"13",2019-03-24 13:00:00,"0.5","1014.0","17.2","100"
"14",2019-03-24 14:00:00,"1.0","1013.3","17.8","100"
"15",2019-03-24 15:00:00,"0.0","1013.0","18.3","100"
"16",2019-03-24 16:00:00,"0.0","1012.7","18.5","100"
"17",2019-03-24 17:00:00,"0.5","1012.7","18.4","100"
"18",2019-03-24 18:00:00,"0.0","1013.0","18.2","100"
"19",2019-03-24 19:00:00,"0.0","1013.3","18.2","100"
"20",2019-03-24 20:00:00,"0.0","1013.6","18.2","100"
"21",2019-03-24 21:00:00,"0.0","1013.6","18.2","100"
"22",2019-03-24 22:00:00,"0.0","1013.6","18.2","100"
"23",2019-03-24 23:00:00,"0.0","1013.6","17.9","100"
"24",2019-03-25 00:00:00,"0.0","1013.0","18.0","100"
