"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1009.1","16.9","100"
"2",2019-03-24 02:00:00,"0.0","1009.0","16.3","96"
"3",2019-03-24 03:00:00,"0.0","1008.8","16.1","98"
"4",2019-03-24 04:00:00,"0.0","1008.7","16.0","100"
"5",2019-03-24 05:00:00,"0.0","1008.0","16.2","100"
"6",2019-03-24 06:00:00,"0.0","1008.8","16.3","100"
"7",2019-03-24 07:00:00,"0.0","1009.6","16.0","100"
"8",2019-03-24 08:00:00,"2.0","1010.0","15.7","100"
"9",2019-03-24 09:00:00,"2.5","1010.4","15.4","100"
"10",2019-03-24 10:00:00,"1.0","1010.9","15.4","100"
"11",2019-03-24 11:00:00,"1.5","1010.7","16.1","100"
"12",2019-03-24 12:00:00,"0.5","1010.4","16.4","100"
"13",2019-03-24 13:00:00,"1.5","1009.3","16.9","100"
"14",2019-03-24 14:00:00,"0.0","/","/","/"
"15",2019-03-24 15:00:00,"0.5","1008.3","18.1","100"
"16",2019-03-24 16:00:00,"0.5","1007.9","18.8","100"
"17",2019-03-24 17:00:00,"0.0","1008.1","18.7","100"
"18",2019-03-24 18:00:00,"0.0","1008.4","18.5","100"
"19",2019-03-24 19:00:00,"0.0","1008.7","18.3","100"
"20",2019-03-24 20:00:00,"0.0","1009.3","18.2","100"
"21",2019-03-24 21:00:00,"0.0","1009.0","18.4","100"
"22",2019-03-24 22:00:00,"0.0","1009.2","18.3","100"
"23",2019-03-24 23:00:00,"0.0","1008.9","18.6","100"
"24",2019-03-25 00:00:00,"0.0","1008.8","18.1","100"
