"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","999.6","14.5","77"
"2",2019-03-24 02:00:00,"0.0","999.5","13.7","87"
"3",2019-03-24 03:00:00,"0.0","999.6","13.6","91"
"4",2019-03-24 04:00:00,"0.0","999.2","13.3","93"
"5",2019-03-24 05:00:00,"4.0","999.2","13.0","98"
"6",2019-03-24 06:00:00,"0.5","999.4","13.0","100"
"7",2019-03-24 07:00:00,"0.5","999.4","13.1","100"
"8",2019-03-24 08:00:00,"0.0","999.9","13.6","100"
"9",2019-03-24 09:00:00,"0.0","1000.7","14.0","100"
"10",2019-03-24 10:00:00,"0.5","1000.4","14.4","100"
"11",2019-03-24 11:00:00,"0.5","1001.0","14.6","100"
"12",2019-03-24 12:00:00,"0.5","/","/","/"
"13",2019-03-24 13:00:00,"0.5","999.1","15.9","100"
"14",2019-03-24 14:00:00,"X","998.1","17.7","100"
"15",2019-03-24 15:00:00,"0.0","998.3","17.5","100"
"16",2019-03-24 16:00:00,"0.0","998.3","16.7","100"
"17",2019-03-24 17:00:00,"0.0","998.4","16.7","100"
"18",2019-03-24 18:00:00,"0.5","998.6","16.7","100"
"19",2019-03-24 19:00:00,"0.0","998.5","16.6","100"
"20",2019-03-24 20:00:00,"0.0","999.1","16.8","100"
"21",2019-03-24 21:00:00,"0.0","999.3","16.9","100"
"22",2019-03-24 22:00:00,"0.0","999.2","17.0","100"
"23",2019-03-24 23:00:00,"0.0","999.2","17.1","100"
"24",2019-03-25 00:00:00,"0.0","998.3","17.1","100"
