"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1014.6","15.2","72"
"2",2019-03-24 02:00:00,"0.0","1014.3","15.1","75"
"3",2019-03-24 03:00:00,"1.5","1014.5","13.8","87"
"4",2019-03-24 04:00:00,"2.5","1014.1","13.6","92"
"5",2019-03-24 05:00:00,"2.5","1014.1","13.7","92"
"6",2019-03-24 06:00:00,"0.0","1014.1","14.1","90"
"7",2019-03-24 07:00:00,"0.0","1013.8","14.3","91"
"8",2019-03-24 08:00:00,"0.5","1014.6","14.7","89"
"9",2019-03-24 09:00:00,"0.5","1014.9","14.9","92"
"10",2019-03-24 10:00:00,"0.0","1015.0","15.1","90"
"11",2019-03-24 11:00:00,"0.0","1015.3","15.5","91"
"12",2019-03-24 12:00:00,"1.0","1014.6","15.2","93"
"13",2019-03-24 13:00:00,"0.0","1013.6","15.7","92"
"14",2019-03-24 14:00:00,"0.0","1012.5","17.1","86"
"15",2019-03-24 15:00:00,"0.0","1012.8","17.0","89"
"16",2019-03-24 16:00:00,"0.0","1012.8","17.1","89"
"17",2019-03-24 17:00:00,"0.0","1013.0","16.9","93"
"18",2019-03-24 18:00:00,"0.5","1013.1","16.8","95"
"19",2019-03-24 19:00:00,"0.5","1013.0","16.9","94"
"20",2019-03-24 20:00:00,"0.0","1013.3","17.0","94"
"21",2019-03-24 21:00:00,"0.0","1014.0","17.4","93"
"22",2019-03-24 22:00:00,"0.0","1013.6","17.3","94"
"23",2019-03-24 23:00:00,"0.0","1013.5","17.4","93"
"24",2019-03-25 00:00:00,"0.0","1012.6","17.1","95"
