"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1018.4","13.7","87"
"2",2019-03-24 02:00:00,"0.5","1017.5","13.8","88"
"3",2019-03-24 03:00:00,"0.5","1017.7","13.6","88"
"4",2019-03-24 04:00:00,"2.0","1017.1","13.5","92"
"5",2019-03-24 05:00:00,"0.5","1017.1","13.7","92"
"6",2019-03-24 06:00:00,"0.5","1016.8","14.0","89"
"7",2019-03-24 07:00:00,"0.0","1016.4","14.8","83"
"8",2019-03-24 08:00:00,"0.0","1016.2","15.4","82"
"9",2019-03-24 09:00:00,"0.0","1016.6","15.7","85"
"10",2019-03-24 10:00:00,"0.5","1015.5","16.3","85"
"11",2019-03-24 11:00:00,"0.0","1015.9","16.7","83"
"12",2019-03-24 12:00:00,"0.0","1015.8","16.8","83"
"13",2019-03-24 13:00:00,"0.0","1015.2","17.3","83"
"14",2019-03-24 14:00:00,"0.5","1014.0","17.4","84"
"15",2019-03-24 15:00:00,"0.5","1013.1","17.7","85"
"16",2019-03-24 16:00:00,"0.0","1013.6","17.8","85"
"17",2019-03-24 17:00:00,"0.0","1014.0","17.7","86"
"18",2019-03-24 18:00:00,"0.0","1014.2","17.3","91"
"19",2019-03-24 19:00:00,"0.0","1014.4","17.3","91"
"20",2019-03-24 20:00:00,"0.0","1014.1","17.5","90"
"21",2019-03-24 21:00:00,"0.0","1014.6","17.8","89"
"22",2019-03-24 22:00:00,"0.0","1014.3","17.1","91"
"23",2019-03-24 23:00:00,"0.0","1014.0","16.8","92"
"24",2019-03-25 00:00:00,"0.0","1013.8","16.7","94"
