"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1014.3","15.8","80"
"2",2019-03-24 02:00:00,"0.0","1013.8","15.7","79"
"3",2019-03-24 03:00:00,"0.0","1014.0","15.7","82"
"4",2019-03-24 04:00:00,"0.0","1013.7","15.9","81"
"5",2019-03-24 05:00:00,"0.0","1013.4","15.7","87"
"6",2019-03-24 06:00:00,"0.0","1014.0","15.6","81"
"7",2019-03-24 07:00:00,"0.0","1014.7","15.9","84"
"8",2019-03-24 08:00:00,"0.0","1015.1","15.9","86"
"9",2019-03-24 09:00:00,"1.0","1015.8","15.3","99"
"10",2019-03-24 10:00:00,"4.0","1015.9","15.2","99"
"11",2019-03-24 11:00:00,"2.5","1016.1","15.9","99"
"12",2019-03-24 12:00:00,"1.5","1015.5","16.1","99"
"13",2019-03-24 13:00:00,"1.0","1014.6","16.6","99"
"14",2019-03-24 14:00:00,"0.0","1013.7","17.4","99"
"15",2019-03-24 15:00:00,"0.0","1013.3","17.7","99"
"16",2019-03-24 16:00:00,"0.0","1013.0","18.1","99"
"17",2019-03-24 17:00:00,"0.5","1013.1","18.0","99"
"18",2019-03-24 18:00:00,"0.0","1013.3","18.1","99"
"19",2019-03-24 19:00:00,"0.0","1013.7","18.1","99"
"20",2019-03-24 20:00:00,"0.0","1014.0","18.1","99"
"21",2019-03-24 21:00:00,"0.0","1014.2","18.2","99"
"22",2019-03-24 22:00:00,"0.0","1014.2","18.1","99"
"23",2019-03-24 23:00:00,"0.0","1014.1","17.8","99"
"24",2019-03-25 00:00:00,"0.0","1013.5","17.6","99"
