"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.0","15.5","72"
"2",2019-03-24 02:00:00,"0.0","1015.0","15.7","71"
"3",2019-03-24 03:00:00,"0.0","1014.9","15.6","73"
"4",2019-03-24 04:00:00,"0.0","1014.2","14.9","78"
"5",2019-03-24 05:00:00,"1.5","1014.7","14.0","88"
"6",2019-03-24 06:00:00,"0.5","1014.9","14.1","88"
"7",2019-03-24 07:00:00,"T","1015.3","14.1","89"
"8",2019-03-24 08:00:00,"0.0","1016.0","14.5","90"
"9",2019-03-24 09:00:00,"T","1016.7","14.9","88"
"10",2019-03-24 10:00:00,"1.5","1016.2","15.3","90"
"11",2019-03-24 11:00:00,"0.5","1016.6","16.2","86"
"12",2019-03-24 12:00:00,"T","1015.8","16.6","86"
"13",2019-03-24 13:00:00,"0.5","1014.7","17.2","86"
"14",2019-03-24 14:00:00,"0.0","1014.4","17.7","89"
"15",2019-03-24 15:00:00,"T","1014.1","18.4","88"
"16",2019-03-24 16:00:00,"0.0","1013.8","18.8","85"
"17",2019-03-24 17:00:00,"0.0","1013.8","18.9","83"
"18",2019-03-24 18:00:00,"0.0","1014.1","18.6","85"
"19",2019-03-24 19:00:00,"0.0","1014.3","18.4","85"
"20",2019-03-24 20:00:00,"0.0","1014.4","18.5","86"
"21",2019-03-24 21:00:00,"0.0","1015.0","18.6","87"
"22",2019-03-24 22:00:00,"0.0","1014.9","18.5","88"
"23",2019-03-24 23:00:00,"0.0","1014.7","18.5","88"
"24",2019-03-25 00:00:00,"0.0","1013.9","18.4","89"
