"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1017.7","13.6","90"
"2",2019-03-24 02:00:00,"0.0","1016.8","13.8","88"
"3",2019-03-24 03:00:00,"1.0","1016.8","13.6","89"
"4",2019-03-24 04:00:00,"2.0","1016.3","13.6","92"
"5",2019-03-24 05:00:00,"0.5","1016.3","13.8","91"
"6",2019-03-24 06:00:00,"0.5","1016.5","14.2","87"
"7",2019-03-24 07:00:00,"0.0","1016.3","14.9","83"
"8",2019-03-24 08:00:00,"0.0","1016.2","15.7","82"
"9",2019-03-24 09:00:00,"X","1016.3","16.3","82"
"10",2019-03-24 10:00:00,"0.5","1015.6","16.7","81"
"11",2019-03-24 11:00:00,"0.0","1015.3","16.6","83"
"12",2019-03-24 12:00:00,"0.0","1015.0","17.1","83"
"13",2019-03-24 13:00:00,"0.0","1014.3","17.4","85"
"14",2019-03-24 14:00:00,"0.5","1013.2","17.7","83"
"15",2019-03-24 15:00:00,"0.5","1012.2","18.3","80"
"16",2019-03-24 16:00:00,"0.0","1012.6","17.8","87"
"17",2019-03-24 17:00:00,"0.0","1012.7","17.7","88"
"18",2019-03-24 18:00:00,"0.0","1012.9","17.7","88"
"19",2019-03-24 19:00:00,"0.0","1013.1","17.7","89"
"20",2019-03-24 20:00:00,"0.0","1012.9","17.7","91"
"21",2019-03-24 21:00:00,"0.0","1013.2","18.0","89"
"22",2019-03-24 22:00:00,"0.0","1012.9","17.4","92"
"23",2019-03-24 23:00:00,"0.0","1012.7","17.1","94"
"24",2019-03-25 00:00:00,"0.0","1012.2","16.9","95"
