"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"1.0","935.1","8.6","99"
"2",2019-03-24 02:00:00,"1.0","934.2","8.8","99"
"3",2019-03-24 03:00:00,"1.0","934.1","9.2","99"
"4",2019-03-24 04:00:00,"2.5","933.8","8.9","99"
"5",2019-03-24 05:00:00,"1.0","933.8","9.0","100"
"6",2019-03-24 06:00:00,"0.5","934.1","9.2","99"
"7",2019-03-24 07:00:00,"0.0","934.2","9.9","99"
"8",2019-03-24 08:00:00,"0.0","934.0","10.3","99"
"9",2019-03-24 09:00:00,"1.5","/","/","/"
"10",2019-03-24 10:00:00,"0.5","933.7","11.1","99"
"11",2019-03-24 11:00:00,"0.0","933.6","11.4","99"
"12",2019-03-24 12:00:00,"0.5","/","/","/"
"13",2019-03-24 13:00:00,"0.0","932.5","12.4","99"
"14",2019-03-24 14:00:00,"0.5","931.8","12.3","99"
"15",2019-03-24 15:00:00,"1.0","929.9","12.7","99"
"16",2019-03-24 16:00:00,"0.5","930.9","12.7","99"
"17",2019-03-24 17:00:00,"0.0","931.3","12.8","99"
"18",2019-03-24 18:00:00,"0.0","931.5","13.1","99"
"19",2019-03-24 19:00:00,"0.0","931.4","13.5","99"
"20",2019-03-24 20:00:00,"0.5","931.6","13.7","99"
"21",2019-03-24 21:00:00,"0.0","931.4","13.6","99"
"22",2019-03-24 22:00:00,"0.0","931.4","13.8","99"
"23",2019-03-24 23:00:00,"0.0","930.7","13.9","99"
"24",2019-03-25 00:00:00,"0.0","930.3","13.9","99"
