"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"1.0","941.4","9.0","99"
"2",2019-03-24 02:00:00,"0.0","940.8","9.0","99"
"3",2019-03-24 03:00:00,"0.5","940.6","9.2","99"
"4",2019-03-24 04:00:00,"0.5","940.1","9.0","99"
"5",2019-03-24 05:00:00,"0.5","940.0","9.3","99"
"6",2019-03-24 06:00:00,"1.0","940.1","9.4","99"
"7",2019-03-24 07:00:00,"0.0","940.3","9.7","99"
"8",2019-03-24 08:00:00,"0.0","940.9","10.4","99"
"9",2019-03-24 09:00:00,"0.5","940.7","10.9","99"
"10",2019-03-24 10:00:00,"0.5","/","/","/"
"11",2019-03-24 11:00:00,"0.0","940.4","11.7","99"
"12",2019-03-24 12:00:00,"0.0","940.1","11.9","99"
"13",2019-03-24 13:00:00,"X","939.4","12.3","99"
"14",2019-03-24 14:00:00,"1.0","938.9","12.5","99"
"15",2019-03-24 15:00:00,"0.5","938.0","12.9","99"
"16",2019-03-24 16:00:00,"0.0","938.2","12.9","99"
"17",2019-03-24 17:00:00,"0.0","938.5","13.1","99"
"18",2019-03-24 18:00:00,"0.0","938.7","13.1","99"
"19",2019-03-24 19:00:00,"0.0","938.9","13.6","99"
"20",2019-03-24 20:00:00,"0.0","938.6","13.8","99"
"21",2019-03-24 21:00:00,"0.0","939.0","14.0","99"
"22",2019-03-24 22:00:00,"0.0","938.7","13.9","99"
"23",2019-03-24 23:00:00,"0.0","938.4","13.9","100"
"24",2019-03-25 00:00:00,"0.0","938.1","14.3","99"
