"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.1","1017.7","13.9","86"
"2",2019-03-24 02:00:00,"T","1017.2","14.0","84"
"3",2019-03-24 03:00:00,"0.6","1016.8","13.6","84"
"4",2019-03-24 04:00:00,"0.3","1016.6","13.9","85"
"5",2019-03-24 05:00:00,"0.2","1016.9","13.9","85"
"6",2019-03-24 06:00:00,"0.2","1016.1","14.6","86"
"7",2019-03-24 07:00:00,"0.0","1015.7","15.3","79"
"8",2019-03-24 08:00:00,"0.0","1016.2","16.1","76"
"9",2019-03-24 09:00:00,"0.2","1016.6","16.1","77"
"10",2019-03-24 10:00:00,"T","1016.8","16.5","81"
"11",2019-03-24 11:00:00,"T","1016.6","17.2","77"
"12",2019-03-24 12:00:00,"0.2","1016.2","17.4","80"
"13",2019-03-24 13:00:00,"0.0","1015.1","17.7","78"
"14",2019-03-24 14:00:00,"0.1","1014.2","17.7","80"
"15",2019-03-24 15:00:00,"0.3","1014.1","17.5","86"
"16",2019-03-24 16:00:00,"0.0","1014.3","17.6","87"
"17",2019-03-24 17:00:00,"0.0","1014.3","17.6","86"
"18",2019-03-24 18:00:00,"T","1014.8","17.3","85"
"19",2019-03-24 19:00:00,"0.0","1014.7","17.2","88"
"20",2019-03-24 20:00:00,"0.2","1015.0","17.2","87"
"21",2019-03-24 21:00:00,"0.1","1015.5","17.2","91"
"22",2019-03-24 22:00:00,"0.0","1015.1","17.1","93"
"23",2019-03-24 23:00:00,"0.1","1014.7","17.1","91"
"24",2019-03-25 00:00:00,"0.0","1014.1","16.9","94"
