"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1014.2","13.5","92"
"2",2019-03-24 02:00:00,"0.0","1013.4","13.5","93"
"3",2019-03-24 03:00:00,"1.5","1013.4","13.6","92"
"4",2019-03-24 04:00:00,"2.5","1012.8","13.5","94"
"5",2019-03-24 05:00:00,"0.5","1012.7","14.1","88"
"6",2019-03-24 06:00:00,"0.5","1012.9","14.1","89"
"7",2019-03-24 07:00:00,"0.0","1012.6","14.9","82"
"8",2019-03-24 08:00:00,"0.0","1012.8","15.6","81"
"9",2019-03-24 09:00:00,"0.0","1012.9","15.7","84"
"10",2019-03-24 10:00:00,"0.0","1012.1","16.1","85"
"11",2019-03-24 11:00:00,"0.5","1011.9","16.7","84"
"12",2019-03-24 12:00:00,"0.0","1011.8","16.9","87"
"13",2019-03-24 13:00:00,"0.0","1010.9","17.5","88"
"14",2019-03-24 14:00:00,"1.0","1010.0","17.2","90"
"15",2019-03-24 15:00:00,"0.5","1009.0","17.6","93"
"16",2019-03-24 16:00:00,"0.0","1009.2","17.7","90"
"17",2019-03-24 17:00:00,"0.0","1009.5","17.5","92"
"18",2019-03-24 18:00:00,"0.0","1009.7","17.7","92"
"19",2019-03-24 19:00:00,"0.0","1009.9","17.8","93"
"20",2019-03-24 20:00:00,"0.0","1009.5","17.8","94"
"21",2019-03-24 21:00:00,"0.0","1009.9","17.8","94"
"22",2019-03-24 22:00:00,"0.0","1009.4","18.0","93"
"23",2019-03-24 23:00:00,"0.0","1009.3","18.3","90"
"24",2019-03-25 00:00:00,"0.0","1008.9","17.8","91"
