"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1004.0","15.6","77"
"2",2019-03-24 02:00:00,"0.0","1003.9","15.4","76"
"3",2019-03-24 03:00:00,"0.0","1003.8","15.2","75"
"4",2019-03-24 04:00:00,"0.0","1003.4","15.2","78"
"5",2019-03-24 05:00:00,"0.5","1003.3","15.1","81"
"6",2019-03-24 06:00:00,"1.5","1003.7","14.0","93"
"7",2019-03-24 07:00:00,"0.0","1004.1","14.5","94"
"8",2019-03-24 08:00:00,"0.5","1004.6","15.3","94"
"9",2019-03-24 09:00:00,"X","1005.3","15.5","96"
"10",2019-03-24 10:00:00,"1.0","1005.4","16.2","96"
"11",2019-03-24 11:00:00,"0.5","1005.6","16.4","97"
"12",2019-03-24 12:00:00,"1.0","1005.0","16.9","97"
"13",2019-03-24 13:00:00,"0.5","1004.1","17.4","96"
"14",2019-03-24 14:00:00,"0.5","1003.5","18.4","94"
"15",2019-03-24 15:00:00,"0.0","1003.2","19.0","94"
"16",2019-03-24 16:00:00,"0.0","1003.0","19.1","92"
"17",2019-03-24 17:00:00,"0.0","1003.0","18.6","94"
"18",2019-03-24 18:00:00,"0.0","1003.1","18.3","95"
"19",2019-03-24 19:00:00,"0.0","1003.3","18.1","94"
"20",2019-03-24 20:00:00,"0.0","1004.0","18.2","93"
"21",2019-03-24 21:00:00,"0.0","1004.2","18.6","91"
"22",2019-03-24 22:00:00,"0.0","1004.1","18.8","91"
"23",2019-03-24 23:00:00,"0.0","1003.9","18.6","93"
"24",2019-03-25 00:00:00,"0.0","1003.5","18.7","93"
