"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.0","16.1","87"
"2",2019-03-24 02:00:00,"0.0","1014.7","16.0","88"
"3",2019-03-24 03:00:00,"0.0","1014.5","15.9","86"
"4",2019-03-24 04:00:00,"0.0","1013.9","15.9","89"
"5",2019-03-24 05:00:00,"0.0","1014.1","16.0","91"
"6",2019-03-24 06:00:00,"0.0","1014.6","14.8","100"
"7",2019-03-24 07:00:00,"1.0","1015.0","14.7","99"
"8",2019-03-24 08:00:00,"0.5","/","/","/"
"9",2019-03-24 09:00:00,"0.5","1016.3","15.1","99"
"10",2019-03-24 10:00:00,"1.0","/","/","/"
"11",2019-03-24 11:00:00,"1.0","1016.5","15.7","99"
"12",2019-03-24 12:00:00,"0.5","1015.9","16.2","99"
"13",2019-03-24 13:00:00,"0.5","1014.7","17.0","99"
"14",2019-03-24 14:00:00,"0.5","1014.4","17.7","100"
"15",2019-03-24 15:00:00,"0.0","1013.9","18.0","99"
"16",2019-03-24 16:00:00,"0.0","1013.7","18.0","99"
"17",2019-03-24 17:00:00,"0.0","1013.6","18.4","99"
"18",2019-03-24 18:00:00,"0.0","1014.1","18.6","99"
"19",2019-03-24 19:00:00,"0.0","1014.3","18.4","99"
"20",2019-03-24 20:00:00,"0.0","1014.5","18.4","99"
"21",2019-03-24 21:00:00,"0.0","1014.6","18.4","99"
"22",2019-03-24 22:00:00,"0.0","1014.8","18.5","99"
"23",2019-03-24 23:00:00,"0.0","1014.8","18.6","99"
"24",2019-03-25 00:00:00,"0.0","1014.0","18.5","99"
