"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1011.6","15.8","76"
"2",2019-03-24 02:00:00,"0.0","1011.4","15.8","75"
"3",2019-03-24 03:00:00,"0.0","1011.3","15.5","79"
"4",2019-03-24 04:00:00,"0.0","1010.8","15.6","77"
"5",2019-03-24 05:00:00,"0.0","1010.9","15.9","79"
"6",2019-03-24 06:00:00,"0.0","1011.3","15.7","78"
"7",2019-03-24 07:00:00,"0.0","1012.0","15.2","91"
"8",2019-03-24 08:00:00,"2.0","1012.4","14.7","100"
"9",2019-03-24 09:00:00,"6.5","1013.1","14.6","100"
"10",2019-03-24 10:00:00,"0.5","1013.2","15.1","100"
"11",2019-03-24 11:00:00,"1.5","1013.5","15.5","100"
"12",2019-03-24 12:00:00,"1.0","1012.8","16.2","100"
"13",2019-03-24 13:00:00,"1.0","1011.8","16.5","100"
"14",2019-03-24 14:00:00,"0.0","1011.1","17.2","100"
"15",2019-03-24 15:00:00,"0.5","1010.8","17.6","100"
"16",2019-03-24 16:00:00,"0.0","1010.6","17.9","100"
"17",2019-03-24 17:00:00,"0.0","1010.5","17.9","100"
"18",2019-03-24 18:00:00,"0.0","1010.8","17.8","100"
"19",2019-03-24 19:00:00,"0.0","1011.2","17.9","100"
"20",2019-03-24 20:00:00,"0.0","1011.3","18.0","100"
"21",2019-03-24 21:00:00,"0.0","1011.5","17.9","100"
"22",2019-03-24 22:00:00,"0.0","1011.5","17.9","100"
"23",2019-03-24 23:00:00,"0.0","1011.4","17.8","100"
"24",2019-03-25 00:00:00,"0.0","1010.9","17.6","100"
