"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","812.6","10.2","99"
"2",2019-03-24 02:00:00,"1.5","812.0","11.0","99"
"3",2019-03-24 03:00:00,"2.0","811.9","10.2","99"
"4",2019-03-24 04:00:00,"1.5","811.7","10.1","99"
"5",2019-03-24 05:00:00,"2.5","812.2","9.6","99"
"6",2019-03-24 06:00:00,"2.5","812.4","10.3","99"
"7",2019-03-24 07:00:00,"1.0","812.7","10.8","99"
"8",2019-03-24 08:00:00,"0.5","813.4","11.0","99"
"9",2019-03-24 09:00:00,"1.0","813.7","10.9","99"
"10",2019-03-24 10:00:00,"0.5","813.8","10.3","97"
"11",2019-03-24 11:00:00,"0.5","813.4","10.7","95"
"12",2019-03-24 12:00:00,"0.0","812.9","11.0","94"
"13",2019-03-24 13:00:00,"0.0","812.6","11.9","94"
"14",2019-03-24 14:00:00,"0.5","812.2","11.7","85"
"15",2019-03-24 15:00:00,"0.0","811.9","10.9","91"
"16",2019-03-24 16:00:00,"0.0","811.6","11.3","91"
"17",2019-03-24 17:00:00,"0.5","812.0","11.3","89"
"18",2019-03-24 18:00:00,"0.0","812.3","10.5","94"
"19",2019-03-24 19:00:00,"0.0","812.7","10.5","95"
"20",2019-03-24 20:00:00,"0.0","813.0","10.7","91"
"21",2019-03-24 21:00:00,"0.0","813.4","10.9","90"
"22",2019-03-24 22:00:00,"0.0","813.0","11.6","81"
"23",2019-03-24 23:00:00,"0.0","812.7","10.8","87"
"24",2019-03-25 00:00:00,"0.0","812.4","9.8","97"
