"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","662.5","1.6","100"
"2",2019-03-24 02:00:00,"1.0","662.0","2.0","100"
"3",2019-03-24 03:00:00,"1.0","662.2","2.0","100"
"4",2019-03-24 04:00:00,"0.0","662.0","2.1","100"
"5",2019-03-24 05:00:00,"0.5","662.3","2.1","100"
"6",2019-03-24 06:00:00,"2.0","662.8","2.4","100"
"7",2019-03-24 07:00:00,"4.5","663.2","1.3","100"
"8",2019-03-24 08:00:00,"2.5","663.2","0.6","100"
"9",2019-03-24 09:00:00,"2.0","663.6","0.4","100"
"10",2019-03-24 10:00:00,"1.0","664.0","0.0","100"
"11",2019-03-24 11:00:00,"0.0","662.4","-0.1","100"
"12",2019-03-24 12:00:00,"0.0","662.7","-0.1","100"
"13",2019-03-24 13:00:00,"0.0","662.4","-0.2","100"
"14",2019-03-24 14:00:00,"0.0","662.4","-0.1","100"
"15",2019-03-24 15:00:00,"0.0","662.3","0.3","100"
"16",2019-03-24 16:00:00,"0.0","662.3","0.6","100"
"17",2019-03-24 17:00:00,"0.0","662.3","1.0","99"
"18",2019-03-24 18:00:00,"0.0","662.8","1.1","100"
"19",2019-03-24 19:00:00,"0.0","663.2","1.2","100"
"20",2019-03-24 20:00:00,"0.0","/","/","/"
"21",2019-03-24 21:00:00,"0.0","663.6","1.2","100"
"22",2019-03-24 22:00:00,"0.5","663.3","1.3","100"
"23",2019-03-24 23:00:00,"1.0","663.2","1.2","100"
"24",2019-03-25 00:00:00,"1.5","663.0","1.3","100"
