"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1022.1","15.1","81"
"2",2019-03-24 02:00:00,"0.0","1021.6","15.0","82"
"3",2019-03-24 03:00:00,"T","1021.3","14.6","88"
"4",2019-03-24 04:00:00,"1.0","1021.1","14.4","91"
"5",2019-03-24 05:00:00,"4.5","1021.3","14.4","91"
"6",2019-03-24 06:00:00,"0.5","1021.1","14.6","92"
"7",2019-03-24 07:00:00,"0.5","1021.3","15.0","91"
"8",2019-03-24 08:00:00,"0.1","1021.3","15.5","88"
"9",2019-03-24 09:00:00,"0.5","1021.6","15.9","90"
"10",2019-03-24 10:00:00,"T","1021.0","16.9","89"
"11",2019-03-24 11:00:00,"T","1020.0","17.6","87"
"12",2019-03-24 12:00:00,"T","1019.8","18.3","84"
"13",2019-03-24 13:00:00,"T","1018.9","19.0","82"
"14",2019-03-24 14:00:00,"T","1018.3","19.2","81"
"15",2019-03-24 15:00:00,"0.0","1017.4","19.2","79"
"16",2019-03-24 16:00:00,"T","1017.2","19.0","81"
"17",2019-03-24 17:00:00,"0.5","1017.2","19.1","85"
"18",2019-03-24 18:00:00,"T","1017.3","18.7","86"
"19",2019-03-24 19:00:00,"0.0","1017.7","18.3","89"
"20",2019-03-24 20:00:00,"0.0","1017.7","18.2","89"
"21",2019-03-24 21:00:00,"0.0","1017.8","18.0","89"
"22",2019-03-24 22:00:00,"0.0","1017.4","17.9","89"
"23",2019-03-24 23:00:00,"0.0","1016.9","17.8","89"
"24",2019-03-25 00:00:00,"0.0","1016.4","17.8","88"
