"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","642.0","1.7","100"
"2",2019-03-24 02:00:00,"0.0","641.6","1.4","100"
"3",2019-03-24 03:00:00,"0.0","641.6","1.5","100"
"4",2019-03-24 04:00:00,"T","641.4","1.4","100"
"5",2019-03-24 05:00:00,"1.0","641.8","1.6","100"
"6",2019-03-24 06:00:00,"T","641.8","1.7","100"
"7",2019-03-24 07:00:00,"T","642.3","2.0","100"
"8",2019-03-24 08:00:00,"0.5","642.7","2.4","100"
"9",2019-03-24 09:00:00,"T","642.9","3.0","100"
"10",2019-03-24 10:00:00,"0.5","642.9","3.2","100"
"11",2019-03-24 11:00:00,"1.0","642.7","2.9","100"
"12",2019-03-24 12:00:00,"4.5","642.3","1.7","100"
"13",2019-03-24 13:00:00,"4.0","642.0","2.0","100"
"14",2019-03-24 14:00:00,"2.0","641.6","2.8","100"
"15",2019-03-24 15:00:00,"2.5","641.4","2.0","100"
"16",2019-03-24 16:00:00,"1.0","641.3","2.9","100"
"17",2019-03-24 17:00:00,"T","641.2","2.7","100"
"18",2019-03-24 18:00:00,"T","641.6","2.3","100"
"19",2019-03-24 19:00:00,"T","642.2","2.0","100"
"20",2019-03-24 20:00:00,"T","642.6","1.9","100"
"21",2019-03-24 21:00:00,"0.5","642.7","1.9","100"
"22",2019-03-24 22:00:00,"T","642.5","1.9","100"
"23",2019-03-24 23:00:00,"0.0","642.3","1.7","100"
"24",2019-03-25 00:00:00,"0.0","642.1","1.5","100"
