"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1011.8","13.8","100"
"2",2019-03-24 02:00:00,"0.5","1011.0","13.9","100"
"3",2019-03-24 03:00:00,"0.0","1011.1","13.7","100"
"4",2019-03-24 04:00:00,"0.5","1010.9","13.5","100"
"5",2019-03-24 05:00:00,"1.0","1010.4","13.8","100"
"6",2019-03-24 06:00:00,"0.0","1009.7","14.4","99"
"7",2019-03-24 07:00:00,"0.0","1009.4","15.5","91"
"8",2019-03-24 08:00:00,"X","1009.3","15.9","92"
"9",2019-03-24 09:00:00,"0.5","1009.9","16.1","96"
"10",2019-03-24 10:00:00,"0.0","1009.1","16.4","99"
"11",2019-03-24 11:00:00,"0.0","1010.0","16.7","96"
"12",2019-03-24 12:00:00,"0.5","1009.7","16.7","100"
"13",2019-03-24 13:00:00,"0.0","1009.2","17.0","99"
"14",2019-03-24 14:00:00,"0.0","1007.9","17.4","99"
"15",2019-03-24 15:00:00,"0.5","1007.4","17.5","99"
"16",2019-03-24 16:00:00,"0.0","1007.9","17.7","100"
"17",2019-03-24 17:00:00,"0.0","1008.4","17.1","100"
"18",2019-03-24 18:00:00,"0.0","1008.6","16.9","100"
"19",2019-03-24 19:00:00,"0.0","1008.6","16.8","100"
"20",2019-03-24 20:00:00,"0.0","1008.5","16.8","100"
"21",2019-03-24 21:00:00,"0.0","1009.0","17.0","100"
"22",2019-03-24 22:00:00,"0.0","1008.7","16.9","100"
"23",2019-03-24 23:00:00,"0.0","1008.5","16.7","100"
"24",2019-03-25 00:00:00,"0.0","1008.1","16.7","100"
