"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1017.4","16.4","74"
"2",2019-03-24 02:00:00,"0.0","1017.0","16.8","78"
"3",2019-03-24 03:00:00,"0.0","1016.8","16.7","79"
"4",2019-03-24 04:00:00,"0.0","1016.3","16.8","81"
"5",2019-03-24 05:00:00,"0.0","1016.9","16.4","80"
"6",2019-03-24 06:00:00,"0.0","1017.1","16.6","79"
"7",2019-03-24 07:00:00,"0.0","1017.8","16.2","79"
"8",2019-03-24 08:00:00,"0.0","1017.8","16.2","82"
"9",2019-03-24 09:00:00,"1.0","1018.8","15.7","92"
"10",2019-03-24 10:00:00,"1.0","1018.9","16.0","95"
"11",2019-03-24 11:00:00,"5.0","1019.0","16.2","97"
"12",2019-03-24 12:00:00,"3.5","1018.5","16.4","97"
"13",2019-03-24 13:00:00,"0.0","1017.7","16.6","97"
"14",2019-03-24 14:00:00,"1.0","1017.0","17.1","95"
"15",2019-03-24 15:00:00,"0.0","1016.4","17.7","93"
"16",2019-03-24 16:00:00,"0.5","1016.0","17.9","92"
"17",2019-03-24 17:00:00,"0.0","1016.1","18.4","90"
"18",2019-03-24 18:00:00,"0.0","1016.3","18.4","92"
"19",2019-03-24 19:00:00,"0.0","1016.8","18.0","94"
"20",2019-03-24 20:00:00,"0.0","1016.6","17.9","94"
"21",2019-03-24 21:00:00,"0.0","1017.3","18.1","93"
"22",2019-03-24 22:00:00,"0.0","1017.1","17.9","94"
"23",2019-03-24 23:00:00,"0.0","1017.0","17.6","94"
"24",2019-03-25 00:00:00,"0.0","1016.4","17.2","96"
