"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1018.3","14.6","86"
"2",2019-03-24 02:00:00,"0.0","1017.4","14.6","85"
"3",2019-03-24 03:00:00,"1.0","1017.6","14.4","87"
"4",2019-03-24 04:00:00,"1.5","1016.9","14.5","88"
"5",2019-03-24 05:00:00,"0.5","1016.9","14.7","86"
"6",2019-03-24 06:00:00,"0.5","1016.7","15.3","81"
"7",2019-03-24 07:00:00,"0.0","1016.5","15.9","77"
"8",2019-03-24 08:00:00,"0.0","1016.6","16.5","77"
"9",2019-03-24 09:00:00,"0.0","1016.6","16.8","80"
"10",2019-03-24 10:00:00,"0.5","1015.7","17.0","81"
"11",2019-03-24 11:00:00,"0.0","1015.7","17.5","79"
"12",2019-03-24 12:00:00,"0.0","1015.6","17.7","79"
"13",2019-03-24 13:00:00,"0.0","1014.7","18.1","79"
"14",2019-03-24 14:00:00,"0.0","1013.7","18.0","83"
"15",2019-03-24 15:00:00,"0.5","1012.7","18.4","83"
"16",2019-03-24 16:00:00,"X","1013.0","18.6","83"
"17",2019-03-24 17:00:00,"0.5","1013.4","18.6","84"
"18",2019-03-24 18:00:00,"0.0","1013.5","18.6","85"
"19",2019-03-24 19:00:00,"0.0","1013.8","18.7","85"
"20",2019-03-24 20:00:00,"0.0","1013.4","18.7","86"
"21",2019-03-24 21:00:00,"0.0","1013.9","18.8","87"
"22",2019-03-24 22:00:00,"0.0","1013.4","18.8","87"
"23",2019-03-24 23:00:00,"0.0","1013.3","18.6","86"
"24",2019-03-25 00:00:00,"0.0","1012.8","18.5","83"
