"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.5","15.9","75"
"2",2019-03-24 02:00:00,"0.0","1015.1","15.8","78"
"3",2019-03-24 03:00:00,"0.0","1015.0","15.8","79"
"4",2019-03-24 04:00:00,"0.0","1014.8","16.0","79"
"5",2019-03-24 05:00:00,"0.0","1014.7","15.9","76"
"6",2019-03-24 06:00:00,"0.0","1015.1","15.6","79"
"7",2019-03-24 07:00:00,"0.0","1016.0","15.7","81"
"8",2019-03-24 08:00:00,"0.0","1016.2","15.7","86"
"9",2019-03-24 09:00:00,"2.0","1017.0","15.3","95"
"10",2019-03-24 10:00:00,"3.0","1017.1","15.1","97"
"11",2019-03-24 11:00:00,"4.0","1017.2","15.5","98"
"12",2019-03-24 12:00:00,"1.5","1016.5","16.2","97"
"13",2019-03-24 13:00:00,"1.0","1015.7","16.7","97"
"14",2019-03-24 14:00:00,"0.5","1015.1","17.3","94"
"15",2019-03-24 15:00:00,"0.0","1014.3","18.0","92"
"16",2019-03-24 16:00:00,"0.0","1014.0","17.9","92"
"17",2019-03-24 17:00:00,"0.0","1014.3","18.1","91"
"18",2019-03-24 18:00:00,"0.0","1014.4","18.0","94"
"19",2019-03-24 19:00:00,"0.0","1014.9","18.0","93"
"20",2019-03-24 20:00:00,"0.0","1015.0","17.8","96"
"21",2019-03-24 21:00:00,"0.0","1015.3","18.1","94"
"22",2019-03-24 22:00:00,"0.0","1015.4","18.1","94"
"23",2019-03-24 23:00:00,"0.0","1015.2","17.6","95"
"24",2019-03-25 00:00:00,"0.0","1014.5","17.4","97"
