"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"T","951.2","9.9","93"
"2",2019-03-24 02:00:00,"0.5","950.2","9.8","93"
"3",2019-03-24 03:00:00,"0.5","950.2","10.1","92"
"4",2019-03-24 04:00:00,"T","949.4","10.0","92"
"5",2019-03-24 05:00:00,"0.5","949.5","10.3","92"
"6",2019-03-24 06:00:00,"0.5","949.6","10.5","92"
"7",2019-03-24 07:00:00,"0.0","949.6","11.2","88"
"8",2019-03-24 08:00:00,"0.0","949.8","12.0","87"
"9",2019-03-24 09:00:00,"0.5","950.1","12.3","90"
"10",2019-03-24 10:00:00,"T","949.6","12.5","88"
"11",2019-03-24 11:00:00,"0.5","950.1","12.9","88"
"12",2019-03-24 12:00:00,"T","949.6","13.3","88"
"13",2019-03-24 13:00:00,"T","949.1","13.4","90"
"14",2019-03-24 14:00:00,"1.0","947.7","13.6","90"
"15",2019-03-24 15:00:00,"1.0","947.6","14.1","88"
"16",2019-03-24 16:00:00,"T","947.6","14.2","88"
"17",2019-03-24 17:00:00,"T","947.9","14.3","89"
"18",2019-03-24 18:00:00,"0.5","948.1","14.4","89"
"19",2019-03-24 19:00:00,"T","948.5","14.3","91"
"20",2019-03-24 20:00:00,"0.5","947.9","14.9","88"
"21",2019-03-24 21:00:00,"T","948.4","15.2","88"
"22",2019-03-24 22:00:00,"T","948.2","14.5","92"
"23",2019-03-24 23:00:00,"0.0","947.9","14.3","94"
"24",2019-03-25 00:00:00,"0.0","947.6","14.3","94"
