"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","994.5","15.4","99"
"2",2019-03-24 02:00:00,"0.0","994.5","15.3","99"
"3",2019-03-24 03:00:00,"0.0","994.2","15.4","99"
"4",2019-03-24 04:00:00,"0.5","994.2","15.0","99"
"5",2019-03-24 05:00:00,"0.0","994.0","14.9","99"
"6",2019-03-24 06:00:00,"0.0","994.2","15.1","99"
"7",2019-03-24 07:00:00,"0.0","995.3","15.2","99"
"8",2019-03-24 08:00:00,"3.0","996.1","15.2","99"
"9",2019-03-24 09:00:00,"3.0","996.0","15.9","99"
"10",2019-03-24 10:00:00,"0.5","996.5","15.7","99"
"11",2019-03-24 11:00:00,"3.5","996.3","16.5","99"
"12",2019-03-24 12:00:00,"2.0","996.2","16.8","99"
"13",2019-03-24 13:00:00,"1.0","995.2","17.9","99"
"14",2019-03-24 14:00:00,"0.0","994.1","18.3","99"
"15",2019-03-24 15:00:00,"0.0","994.2","18.0","99"
"16",2019-03-24 16:00:00,"1.0","993.9","18.0","99"
"17",2019-03-24 17:00:00,"0.0","993.7","18.1","99"
"18",2019-03-24 18:00:00,"0.0","994.0","18.1","99"
"19",2019-03-24 19:00:00,"0.0","994.4","18.1","99"
"20",2019-03-24 20:00:00,"0.0","994.9","17.9","99"
"21",2019-03-24 21:00:00,"0.0","994.9","18.0","99"
"22",2019-03-24 22:00:00,"0.0","994.9","17.8","99"
"23",2019-03-24 23:00:00,"0.0","994.8","17.5","99"
"24",2019-03-25 00:00:00,"0.0","994.5","17.4","99"
