"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","968.9","13.8","100"
"2",2019-03-24 02:00:00,"0.0","968.4","14.2","100"
"3",2019-03-24 03:00:00,"0.0","968.5","14.0","99"
"4",2019-03-24 04:00:00,"0.0","968.3","14.0","100"
"5",2019-03-24 05:00:00,"0.0","968.2","14.4","100"
"6",2019-03-24 06:00:00,"0.5","968.5","13.6","100"
"7",2019-03-24 07:00:00,"0.5","968.9","14.8","100"
"8",2019-03-24 08:00:00,"1.0","969.6","15.6","100"
"9",2019-03-24 09:00:00,"0.5","970.0","16.8","100"
"10",2019-03-24 10:00:00,"1.5","970.4","15.3","100"
"11",2019-03-24 11:00:00,"1.0","970.3","16.8","100"
"12",2019-03-24 12:00:00,"1.0","970.0","15.3","100"
"13",2019-03-24 13:00:00,"1.0","969.4","17.0","100"
"14",2019-03-24 14:00:00,"0.5","968.7","17.9","100"
"15",2019-03-24 15:00:00,"0.5","968.4","17.0","100"
"16",2019-03-24 16:00:00,"0.0","968.3","17.1","100"
"17",2019-03-24 17:00:00,"0.0","968.2","17.0","100"
"18",2019-03-24 18:00:00,"0.0","968.3","17.0","100"
"19",2019-03-24 19:00:00,"0.0","968.7","16.8","100"
"20",2019-03-24 20:00:00,"0.0","969.3","16.8","100"
"21",2019-03-24 21:00:00,"0.0","969.4","16.8","100"
"22",2019-03-24 22:00:00,"0.0","969.0","16.8","100"
"23",2019-03-24 23:00:00,"0.0","969.2","16.9","100"
"24",2019-03-25 00:00:00,"0.0","968.8","16.7","100"
