"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1002.4","14.5","74"
"2",2019-03-24 02:00:00,"1.0","1002.4","14.0","82"
"3",2019-03-24 03:00:00,"0.5","1002.5","13.2","90"
"4",2019-03-24 04:00:00,"2.0","1002.1","13.1","93"
"5",2019-03-24 05:00:00,"3.0","1002.3","13.3","93"
"6",2019-03-24 06:00:00,"0.0","1001.7","13.5","92"
"7",2019-03-24 07:00:00,"0.0","1002.0","13.6","92"
"8",2019-03-24 08:00:00,"0.5","1002.6","14.0","92"
"9",2019-03-24 09:00:00,"0.5","1002.9","14.3","93"
"10",2019-03-24 10:00:00,"0.0","1002.8","14.7","93"
"11",2019-03-24 11:00:00,"0.5","1003.4","14.8","93"
"12",2019-03-24 12:00:00,"1.0","1002.7","15.0","94"
"13",2019-03-24 13:00:00,"0.0","1002.1","15.4","95"
"14",2019-03-24 14:00:00,"0.0","1000.7","15.6","95"
"15",2019-03-24 15:00:00,"0.5","1001.0","16.1","95"
"16",2019-03-24 16:00:00,"0.0","1001.2","16.2","95"
"17",2019-03-24 17:00:00,"0.0","1001.3","16.2","96"
"18",2019-03-24 18:00:00,"0.0","1001.5","16.3","96"
"19",2019-03-24 19:00:00,"0.5","1001.4","16.4","95"
"20",2019-03-24 20:00:00,"0.0","1001.6","16.4","96"
"21",2019-03-24 21:00:00,"0.0","1002.3","16.6","96"
"22",2019-03-24 22:00:00,"0.0","1002.0","16.4","96"
"23",2019-03-24 23:00:00,"0.0","1001.7","16.3","96"
"24",2019-03-25 00:00:00,"1.0","1001.2","16.5","96"
