"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","977.4","13.7","100"
"2",2019-03-24 02:00:00,"0.0","977.0","14.1","100"
"3",2019-03-24 03:00:00,"0.0","976.9","14.2","100"
"4",2019-03-24 04:00:00,"0.0","976.6","14.0","100"
"5",2019-03-24 05:00:00,"1.0","976.6","13.8","100"
"6",2019-03-24 06:00:00,"0.5","976.9","13.6","100"
"7",2019-03-24 07:00:00,"0.5","977.4","14.1","100"
"8",2019-03-24 08:00:00,"0.0","977.9","14.5","100"
"9",2019-03-24 09:00:00,"0.5","978.5","14.9","100"
"10",2019-03-24 10:00:00,"4.0","978.5","15.5","100"
"11",2019-03-24 11:00:00,"0.5","978.4","16.3","100"
"12",2019-03-24 12:00:00,"0.0","978.4","14.9","100"
"13",2019-03-24 13:00:00,"1.0","977.5","16.3","100"
"14",2019-03-24 14:00:00,"0.0","976.5","18.2","100"
"15",2019-03-24 15:00:00,"0.5","976.5","18.2","100"
"16",2019-03-24 16:00:00,"0.0","976.2","18.3","100"
"17",2019-03-24 17:00:00,"0.0","976.3","17.1","100"
"18",2019-03-24 18:00:00,"0.0","976.7","17.3","100"
"19",2019-03-24 19:00:00,"0.0","976.8","16.7","100"
"20",2019-03-24 20:00:00,"0.0","977.7","16.8","100"
"21",2019-03-24 21:00:00,"0.0","977.6","17.1","100"
"22",2019-03-24 22:00:00,"0.0","977.6","17.4","100"
"23",2019-03-24 23:00:00,"0.0","977.7","17.5","100"
"24",2019-03-25 00:00:00,"0.0","976.9","17.5","100"
