"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.1","15.6","74"
"2",2019-03-24 02:00:00,"0.0","1015.1","15.6","75"
"3",2019-03-24 03:00:00,"0.0","1014.8","16.1","75"
"4",2019-03-24 04:00:00,"0.0","1014.5","15.8","74"
"5",2019-03-24 05:00:00,"0.0","1014.6","15.4","77"
"6",2019-03-24 06:00:00,"0.0","1014.9","15.2","82"
"7",2019-03-24 07:00:00,"0.0","1015.6","15.3","86"
"8",2019-03-24 08:00:00,"1.0","1016.1","14.5","94"
"9",2019-03-24 09:00:00,"2.0","1017.0","14.7","95"
"10",2019-03-24 10:00:00,"1.0","1016.8","15.2","94"
"11",2019-03-24 11:00:00,"2.0","1016.9","15.6","94"
"12",2019-03-24 12:00:00,"1.5","1016.3","16.6","94"
"13",2019-03-24 13:00:00,"0.5","1015.4","16.8","93"
"14",2019-03-24 14:00:00,"0.0","1014.8","17.5","92"
"15",2019-03-24 15:00:00,"0.5","1014.3","17.5","91"
"16",2019-03-24 16:00:00,"0.0","1014.0","17.8","89"
"17",2019-03-24 17:00:00,"0.0","1014.1","18.0","90"
"18",2019-03-24 18:00:00,"0.0","1014.3","17.9","90"
"19",2019-03-24 19:00:00,"0.0","1014.7","17.7","92"
"20",2019-03-24 20:00:00,"0.0","1014.7","17.8","93"
"21",2019-03-24 21:00:00,"0.0","1015.1","17.9","93"
"22",2019-03-24 22:00:00,"0.0","1015.3","17.7","95"
"23",2019-03-24 23:00:00,"0.0","1015.0","17.5","95"
"24",2019-03-25 00:00:00,"0.0","1014.3","17.5","96"
