"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","765.3","8.0","98"
"2",2019-03-25 02:00:00,"0.0","764.9","7.3","99"
"3",2019-03-25 03:00:00,"0.0","764.7","7.3","99"
"4",2019-03-25 04:00:00,"0.0","764.4","7.6","100"
"5",2019-03-25 05:00:00,"0.0","764.7","7.9","100"
"6",2019-03-25 06:00:00,"0.0","765.0","7.9","100"
"7",2019-03-25 07:00:00,"0.0","765.8","8.2","100"
"8",2019-03-25 08:00:00,"0.0","766.5","8.8","100"
"9",2019-03-25 09:00:00,"0.0","767.1","9.0","100"
"10",2019-03-25 10:00:00,"0.0","767.1","10.0","100"
"11",2019-03-25 11:00:00,"0.0","767.5","9.1","100"
"12",2019-03-25 12:00:00,"0.0","767.0","9.1","100"
"13",2019-03-25 13:00:00,"0.0","766.9","9.0","100"
"14",2019-03-25 14:00:00,"0.0","766.4","9.0","100"
"15",2019-03-25 15:00:00,"0.0","766.6","8.9","100"
"16",2019-03-25 16:00:00,"T","766.8","9.0","100"
"17",2019-03-25 17:00:00,"0.0","766.8","8.6","100"
"18",2019-03-25 18:00:00,"0.0","766.8","8.3","100"
"19",2019-03-25 19:00:00,"0.0","766.8","5.8","97"
"20",2019-03-25 20:00:00,"0.0","767.2","5.6","97"
"21",2019-03-25 21:00:00,"0.0","767.7","5.4","96"
"22",2019-03-25 22:00:00,"0.0","767.7","5.0","97"
"23",2019-03-25 23:00:00,"0.0","767.8","4.8","95"
"24",2019-03-26 00:00:00,"0.0","767.7","4.4","83"
